Ano;Trimestre;Tipo;Irregularidade;Aplicação;
2018;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de informações sobre operações de financiamento imobiliário (pessoa natural);"Para as situações envolvendo o não fornecimento, pela instituição financeira, em até um dia útil contado a partir da solicitação do devedor (pessoa natural), das seguintes informações relativas à operação de financiamento imobiliário:
I - número do contrato;
II - saldo devedor atualizado;
III - demonstrativo da evolução do saldo devedor;
IV - modalidade;
V - taxa de juros anual, nominal e efetiva;
VI - prazo total e remanescente;
VII - sistema de pagamento;
VIII - valor de cada prestação, especificando o valor do principal e dos encargos;
IX - data do último vencimento da operação.";
2018;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, contratos e liquidação antecipada;"Para os casos envolvendo o não fornecimento ao cliente ou usuário de documentos solicitados, tais como extratos em geral, recibos, comprovantes, faturas, desde que não se refiram a contratos, a cartão de crédito ou a liquidação antecipada.";
2018;4º;Reclamação regulada;Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);"Para os casos envolvendo registro ou procedimento incorreto, por parte de instituição financeira, no Sistema de Informações de Crédito do Banco Central (SCR), tais como: 

- consulta de dados sem autorização prévia do cliente;
- descumprimento de obrigações relacionadas à inclusão/exclusão/alteração de dados;
- inclusão indevida;
- inclusão de valores incorretos;
- não exclusão de inscrições feitas quando constatadas fraudes na concessão do crédito.";
2018;4º;Reclamação regulada;Irregularidades relacionadas à devolução de cheques;"Para as situações relacionadas à devolução de cheques, tais como:
- devolução pelo motivo incorreto;
- não comunicação ao emitente do cheque, quando da devolução pelos motivos 12, 13 e 14; 
- não fornecimento (ou fornecimento incompleto) de informações sobre o emitente de cheque devolvido;
- não fornecimento, ao emitente do cheque incluído no CCF, de informações sobre o beneficiário/depositante, mesmo diante da apresentação da cópia do cheque e da autorização deste;
- fornecimento, ao emitente de cheque, de informações sobre o beneficiário/depositante sem autorização deste;
- devolução decorrente de divergência entre os valores expressos em algarismos e por extenso;
- não aposição, pela instituição financeira remetente, do carimbo de devolução no cheque físico;
- não disponibilização de informações que possam acarretar a devolução de determinado cheque.";
2018;4º;Reclamação regulada;Irregularidades relacionadas à liquidação de documentos (exceto cheques);"Para as situações relacionadas à liquidação de TEC, TED, DOC e boletos de cobrança, tais como: 
- descumprimento de prazo de compensação;
- inobservância do valor limite de DOC;
- não informação/disponibilização de DOC devolvido.";
2018;4º;Reclamação regulada;Irregularidades relativas a crédito rotativo de cartão de crédito e inadimplência do cartão de crédito;"Para as situações envolvendo infração às regras de crédito rotativo de cartão de crédito previstas na Resolução 4.549, de 2017, tais como:
- extensão indevida de crédito rotativo
- falta de informação sobre as novas regras de crédito rotativo
- financiamento de saldo remanescente de crédito rotativo em condições não vantajosas
- retorno ao crédito rotativo após parcelamento de rotativo anterior

Limitação para cobrança dos juros remuneratórios nos casos de inadimplência de cartão de crédito previstas na Resolução 4.655/2018.";
2018;4º;Reclamação regulada;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços disponibilizados em ATM;"Para as situações envolvendo integridade, confiabilidade, segurança ou o sigilo das transações realizadas, bem como a legitimidade das operações contratadas e dos serviços prestados em ATM (terminal de auto atendimento), tais como:
- Saques e depósitos divergentes em ATM (inclusive na utilização de cartões de crédito e débito);
- Saques não reconhecidos em ATM;
- Golpe (adulteração de boleto no momento do pagamento em ATM);
- Adulterações em transações via ATM;
- Cooptação de dados em ATM.";
2018;4º;Reclamação regulada;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços disponibilizados em internet banking;"Para as situações envolvendo integridade, confiabilidade, segurança ou o sigilo das transações realizadas, bem como a legitimidade das operações contratadas e dos serviços prestados via internet banking, tais como:
- Transações não reconhecidos em Internet Banking;
- Golpe (adulteração de boleto no momento do pagamento via Internet Banking);
- Adulterações em transações via Internet Banking;
- Cooptação de dados em Internet Banking.";
2018;4º;Reclamação regulada;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de crédito;"Para as situações envolvendo integridade, confiabilidade, segurança ou o sigilo das transações realizadas, bem como a legitimidade das operações contratadas e dos serviços prestados relacionados a cartões de crédito, tais como:
- Cobrança em fatura de cartão de crédito que deveria ter sido estornada;
- Cobrança indevida em fatura de cartão de crédito;
- Compras não reconhecidas feitas com cartão de crédito clonado/roubado;
- Cobranças em duplicidade, em cartão de crédito;
- Não reconhecimento de pagamento de fatura de cartão de crédito;
- Inconsistências em dados fornecidos ao cliente em fatura de cartão de crédito (ex.: soma dos lançamentos é diferente do total da fatura).";
2018;4º;Reclamação regulada;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de débito;"Para as situações envolvendo integridade, confiabilidade, segurança ou o sigilo das transações realizadas, bem como a legitimidade das operações contratadas e dos serviços prestados relacionados a cartões de débito, tais como:
- Compras não reconhecidas feitas com cartão de débito clonado/roubado;
- Cobranças em duplicidade, em cartão de débito.";
2018;4º;Reclamação regulada;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking e ATM;"Para situações envolvendo integridade, confiabilidade, segurança ou o sigilo das transações realizadas, bem como a legitimidade das operações contratadas e dos serviços prestados relacionadas a outros serviço que não cartão de crédito, cartão de débito, internet banking e ATM por possuírem classificação específica, tais como:
- Não realização de débito automático autorizado pelo cliente;
- Divergências em saques e depósitos em caixa convencional;
- Problemas em transações ocasionados por falha humana;
- Outras cobranças em duplicidade;
- Resgates de investimentos, alteração de modalidades de investimentos, etc., sem autorização do cliente.
";
2018;4º;Reclamação não regulada;Juros;Para as situações envolvendo o valor das taxas de juros cobradas por instituição financeira.;
2018;4º;Reclamação não regulada;Liberação de recursos em financiamento imobiliário;Para as situações envolvendo demora ou dificuldade nos procedimentos para liberação de financiamentos imobiliários.;
2018;4º;Reclamação regulada;Não acatamento de solicitação de cancelamento de débitos automáticos em conta de depósito;"Para as situações envolvendo o não acatamento, por parte da instituição financeira, de solicitação apresentada pelo cliente para cancelamento de débitos automáticos em conta de depósito à vista, desde que não decorram de obrigações referentes a operações de crédito contratadas com a própria instituição financeira.
";
2018;4º;Reclamação regulada;Não acatamento de solicitação de cancelamento de débitos automáticos em conta de pagamento;"Para as situações envolvendo o não acatamento, por parte da instituição financeira, de solicitação apresentada pelo cliente para cancelamento de débitos automáticos em conta de pagamento.";
2018;4º;Reclamação regulada;Não divulgação de informações sobre tarifas ou pacotes de serviços ou não disponibilização de pacotes de serviços obrigatórios;"Para os casos envolvendo a divulgação de informações relacionadas a tarifas bancárias e a pacotes de serviços ou à disponibilização de pacotes de serviços padronizados, tais como:
- não divulgação da tabela de tarifas nas suas dependências e nos sítios eletrônicos na internet;
- não divulgação da tabela de tarifas em correspondentes;
- não divulgação da majoração da tarifa ou da instituição de nova tarifa aplicável a pessoas naturais;
- não divulgação da majoração do pacote de serviços ou da instituição de novo pacote;
- não disponibilização de pacotes de serviços padronizados;
- não divulgação dos pacotes de serviços nas suas dependências e nos sítios eletrônicos na internet;
- não disponibilização de informações sobre o pacote de serviços contratados, bem como não prestação de esclarecimentos sobre a existência de outros pacotes de serviços.";
2018;4º;Reclamação não regulada;Não liberação de margem consignável - Cartão de crédito consignável;"Para as situações envolvendo a não liberação da margem consignável, por parte da instituição financeira, após quitação da operação, quando se referir a cartão.";
2018;4º;Reclamação não regulada;Não liberação de margem consignável (exceto cartão de crédito consignável);"Para as situações envolvendo a não liberação da margem consignável, por parte da instituição financeira, após quitação da operação, para os casos em que não envolva cartão.";
2018;4º;Reclamação regulada;Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada;Para os casos em que houver indícios de que a instituição ofertou produtos e serviços inadequados ou prestou informações a respeito dos mesmos de forma insuficiente à tomada de decisão por parte de clientes e usuários.;
2018;4º;Reclamação não regulada;Operações de entidades não fiscalizadas pelo Banco Central;"Para os casos de reclamações:
- contra entidades não fiscalizadas pelo Banco Central (seguradoras, empresas de factoring, empresas comerciais);
- sobre assuntos de competência da CVM (negociação de ações, fundos de investimento etc.);
- sobre assuntos da Receita Federal do Brasil (cobrança de impostos etc).";
2018;4º;Reclamação regulada;Outras irregularidades ;Para os casos envolvendo outras irregularidades que não possuem um item próprio de classificação no presente ranking.;
2018;4º;Reclamação regulada;Outras irregularidades relacionadas a cartões de crédito;"Para os casos envolvendo irregularidades relacionadas a cartões de crédito não enquadrados nos outros itens, tais como:
- recusa à oferta de cartão de crédito básico nacional e/ou internacional por instituição que emite cartão de crédito;
- não divulgação em tabela dos benefícios/recompensas relacionados a cartões de crédito;
- ausência de informações obrigatórias mínimas nos demonstrativos e/ou faturas mensais.";
2018;4º;Reclamação regulada;Outras irregularidades relacionadas a cheques;Para os casos envolvendo irregularidades relacionadas a cheques não enquadrados nos outros itens.;
2018;4º;Reclamação regulada;Outras irregularidades relacionadas a tarifas;"Para os casos envolvendo irregularidades relacionadas a tarifas não enquadrados nos outros itens, tais como:
- cobrança de tarifa de liquidação antecipada em contratos celebrados com pessoas naturais, microempresas e empresas de pequeno porte;
- cobrança de mais de uma tarifa pelo envio de segunda via de cartão com mais de uma função;
- débito, em conta de depósitos à vista ou de poupança, de tarifas sem identificação no extrato de forma clara ou sem utilização, no caso dos serviços prioritários, da padronização;
- não disponibilização de extrato anual.";
2018;4º;Reclamação regulada;Outras irregularidades relacionadas à portabilidade de operações de crédito de pessoa natural;"Para os casos envolvendo outras irregularidades relacionadas à portabilidade de operação de crédito contratada por pessoa natural, tais como:
- aumento do valor da prestação, por parte de instituição financeira proponente, sem a manifestação formal de concordância por parte do devedor;
- repasse, ao devedor, dos custos relacionados à troca de informações e à transferência de recursos entre as instituições proponente e credora original;
- ausência de divulgação de informações necessárias para o exercício do direito à portabilidade;
- situações envolvendo operações de arrendamento mercantil.";
2018;4º;Reclamação não regulada;Outros assuntos não regulados relacionados a cartão de crédito;"Para situações diversas, não reguladas, envolvendo cartão de crédito emitido por instituições financeiras, tais como:
- não fornecimento do contrato de adesão ao cartão;
- descumprimento de cláusulas contratuais;
- demora no envio de 2ª via de cartão; 
- demora no envio de cartão com nova validade.";
2018;4º;Reclamação regulada;Ouvidoria - Outras irregularidades;Para os casos envolvendo outras irregularidades relacionadas ao serviço de Ouvidoria.;
2018;4º;Reclamação não regulada;Planos Econômicos - divergências no saldo de cadernetas de poupança;"Para situações relacionadas a planos econômicos, tais como diferenças de reajustes de saldos em cadernetas de poupança.";
2018;4º;Reclamação regulada;Prestação de serviço de forma irregular em conta-salário;"Para as situações relacionadas à prestação de serviços, ou movimentação de recursos, de forma irregular em conta-salário, tais como:
- transferência de recursos não realizada ou realizada de forma intempestiva; 
- transferência de recursos realizada sem solicitação do cliente; 
- realização de débitos não autorizados pelo cliente. ";
2018;4º;Reclamação não regulada;Problemas enfrentados com o atendimento preferencial;"Para as situações relacionadas à não observância de legislação específica sobre atendimento a pessoas com deficiência ou com mobilidade reduzida, temporária ou definitiva, idosos, gestantes, lactantes e pessoas acompanhadas por criança de colo.

";
2018;4º;Reclamação não regulada;Produto ou serviço não solicitado (exceto cartões de crédito/débito);"Para as situações relacionadas ao recebimento de produtos/serviços não solicitados (exceto cartões de crédito/débito), tais como:
- recebimento de títulos de capitalização;
- recebimento de fatura cobrando mensalidades de seguro;
- indicação de lançamentos futuros em conta-corrente (a débito) relativos a produtos e serviços não solicitados.";
2018;4º;Reclamação não regulada;Publicidade enganosa;"Para as situações relacionadas à publicidade, por parte da instituição financeira, capaz de induzir o cliente ou o usuário a erro a respeito de natureza, características, riscos, taxas, comissões, tarifas ou qualquer outra forma de remuneração, prazos, tributação e quaisquer outros dados referentes a contratos, operações ou serviços oferecidos ou prestados. ";
2018;4º;Reclamação não regulada;Reclamações relacionadas a assuntos diversos;"Para situações relacionadas a assuntos diversos, não classificadas em rubricas específicas, tais como:
- ligações telefônicas oferecendo produtos e serviços, inclusive cartão de crédito;
- limites para saques/transferências em terminais eletrônicos, Internet Banking, etc;
- reclamações envolvendo os produtos ""seguro"" ou ""plano de previdência privada"", manifestada contra a instituição fiscalizada e não contra a seguradora ou contra empresa de previdência privada, tais como: demora no pagamento do seguro, demora no resgate da aplicação da previdência, entre outros.";
2018;4º;Reclamação regulada;Recusa de cancelamento de pacote de serviços;Para os casos em que a instituição financeira se recusa a cancelar o pacote de serviços a pedido do cliente.;
2018;4º;Reclamação não regulada;Recusa de produtos ou serviços;"Para as situações relacionadas à recusa de produtos e serviços, por parte de instituição financeira, tais como:
- recepção de depósito/pagamento em moeda metálica;
- abertura de conta;
- concessão de crédito; 
- contratação de câmbio;
- substituição de bens dados em garantia;  
- aditamento contratual (alteração de cláusulas propostas pelo cliente);
- transferência de titularidade do devedor de financiamento;
- transferência de agência;
- fornecimento de cartão crédito.";
2018;4º;Reclamação regulada;Recusa ou dificuldade de acesso aos canais de atendimento convencionais;"Para os casos envolvendo recusa ou dificuldade de acesso aos canais de atendimento convencionais, inclusive guichês de caixa, mesmo na hipótese de a instituição financeira oferecer atendimento alternativo ou eletrônico. Não aplicável a dependências exclusivamente eletrônicas nem à prestação de serviços de cobrança e de recebimento decorrentes de contratos ou convênios que prevejam canais de atendimento específicos.";
2018;4º;Reclamação não regulada;Renegociação de dívida (exceto cartão de crédito);"Para as situações envolvendo renegociação de dívidas, exceto as envolvendo cartão de crédito.";
2018;4º;Reclamação não regulada;Renegociação de dívidas/encargos relacionadas a cartão de crédito;Para situações relacionadas à renegociação de dívida ou encargos de cartão de crédito.;
2018;4º;Reclamação regulada;Restrição à realização de portabilidade de operações de crédito (exceto crédito consignado e financiamento imobiliário) relativas a pessoas naturais;"Para os casos envolvendo restrições, por parte da instituição financeira credora original, para efetuar portabilidade de operação de crédito (exceto crédito consignado e financiamento imobiliário) de pessoa natural, tais como: 
- não fornecimento do saldo devedor ou de outras informações necessárias para concluir a portabilidade;
- não comunicação de desistência dentro do prazo previsto;
- alegação indevida de problemas de inconsistência na TED.
- não comprovação da desistência do devedor.";
2018;4º;Reclamação regulada;Restrição à realização de portabilidade de operações de crédito consignado relativas a pessoas naturais;"Para os casos envolvendo restrições, por parte da instituição financeira credora original, para efetuar portabilidade de operação de crédito consignado de pessoa natural, tais como: 
- não fornecimento do saldo devedor ou de outras informações necessárias para concluir a portabilidade;
- não comunicação de desistência dentro do prazo previsto;
- alegação indevida de problemas de inconsistência na TED;
- não comprovação da desistência do devedor.";
2018;4º;Reclamação regulada;Restrição à realização de portabilidade de operações de crédito relativas a pessoas jurídicas;"Para os casos envolvendo a recusa injustificada ou imposição de dificuldades, por parte da instituição financeira credora original, para efetuar portabilidade de operação de crédito de pessoa jurídica, mediante a transferência de recursos pela instituição financeira proponente do novo empréstimo. ";
2018;4º;Reclamação regulada;Restrição à realização de portabilidade de operações de financiamento imobiliário relativas a pessoas naturais;"Para os casos envolvendo restrições, por parte da instituição financeira credora original, para efetuar portabilidade de operação de financiamento imobiliário de pessoa natural, tais como: 
- não fornecimento do saldo devedor ou de outras informações necessárias para concluir a portabilidade;
- não comunicação de desistência dentro do prazo previsto;
- alegação indevida de problemas de inconsistência na TED;
- não fornecimento da documentação necessária para as devidas averbações no cartório de registro de imóveis;
- não comprovação da desistência do devedor.";
2018;4º;Reclamação não regulada;Restrições cadastrais;"Para as situações envolvendo restrições cadastrais no Serasa, SPC e outros cadastros não constantes da base de dados do Banco Central, inclusive as oriundas de operações com cartão de crédito, tais como:
- inclusão indevida em cadastros restritivos;
- demora na retirada de restrições cadastrais, após a quitação da dívida.";
2018;4º;Reclamação não regulada;Segurança bancária;"Para os casos relacionados à segurança bancária, tais como:
- constrangimentos impostos ao cliente ou usuário em nome da segurança bancária; e
- falta de segurança nas dependências da instituição financeira.";
2018;4º;Reclamação não regulada;Tempo de espera em fila;Para as situações envolvendo o tempo de espera em filas na instituição financeira.;
2018;4º;Reclamação não regulada;Terminais eletrônicos, internet e aplicativos;"Para problemas relacionados: 
I - ao uso de terminais eletrônicos de autoatendimento, tais como:
a) sem numerário;
b) com defeito;
c) sem envelope;
d) sem papel de comprovante.

II - à internet banking, tais como:
a) site indisponível;
b) lentidão para processar operações;
c) à dificuldades para obtenção de senha para acesso ao site de internet banking, inclusive em caso de bloqueio da senha anterior pela instituição financeira;
d) dificuldades na utilização de serviços via aplicativos mobile.";
2018;4º;Reclamação regulada;Utilização incorreta da taxa de desconto no cálculo do valor presente relacionadas às demais operações de crédito, exceto as de crédito consignado e de financiamento imobiliário;"Para os casos em que foi utilizada incorretamente pela instituição financeira a taxa de desconto no cálculo do valor presente das demais operações de crédito, exceto as de crédito consignado e de financiamento imobiliário.";
2018;4º;Reclamação regulada;Utilização incorreta da taxa de desconto no cálculo do valor presente relacionadas às operações de crédito consignado;Para os casos em que foi utilizada incorretamente pela instituição financeira a taxa de desconto no cálculo do valor presente das operações de crédito consignado.;
2018;4º;Reclamação regulada;Utilização incorreta da taxa de desconto no cálculo do valor presente relacionadas às operações de financiamento imobiliário;Para os casos em que foi utilizada incorretamente pela instituição financeira a taxa de desconto no cálculo do valor presente das operações de financiamento imobiliário.;
