Ano;Semestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2015;2º;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;1;0;1;11962;10727;2837;
2015;2º;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);7.292,45;875;1426;231;2532;119987; ;119987;
2015;2º;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;9;48;55;112;448278;269091;181861;
2015;2º;Menos de dois milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;1;0;5;6;2689;927;1770;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A; ;3;2;11;16;97212;6361;91257;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;54403563;BANCO ARBI S A; ;1;3;1;5;4426;305;4146;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;09391857;BANCO AZTECA DO BRASIL S A; ;0;0;3;3;118733;93632;37812;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;00997185;BANCO BM FBOVESPA DE SERVICOS DE LIQUIDACAO E CUSTODIA S A; ;0;0;1;1;681;681; ;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;646,64;41;225;119;385;63404;15644;48086;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;15173776;BANCO CAPITAL S A; ;0;2;1;3;1432;1385;125;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;33132044;BANCO CEDULA S A; ;0;0;1;1;12189;2797;9638;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S A; ;3;1;1;5;26620;1913;25437;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A; ;24;38;193;255;1717466; ;1717466;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;4;6;22;32;506307;417201;178168;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;62232889;BANCO DAYCOVAL S A;662,71;498;1179;480;2157;751458;35856;720064;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S A; ;0;1;0;1;52395; ;52395;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A;52,53;43;20;12;75;818511;794622;185395;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARA S A; ;13;24;37;74;707677;703972;167852;
2015;2º;Mais de dois milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S A;0,59;3;21;62;86;5026355;4839855;898976;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S A; ;3;45;85;133;112384;5395;107568;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;61348538;BANCO FICSA S A; ;2;3;9;14;23561;1224;26807;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S A; ;1;0;3;4;7271;398;6914;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;90731688;BANCO FORD S A; ;0;2;1;3;502;218;288;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;10664513;BANCO GERADOR S A; ;2;6;17;25;27885;344;27573;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;07656500;BANCO KDB DO BRASIL S A; ;0;0;2;2;185;176;10;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;02318507;BANCO KEB HANA DO BRASIL S A; ;0;0;1;1;460;458;32;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S A; ;0;2;3;5;10093;3999;6385;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;07441209;BANCO MONEO S A; ;0;1;2;3;1262;2;1260;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S A; ;1;10;7;18;151165;3176;148148;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;07679404;BANCO TOPAZIO S A; ;0;0;3;3;34855;1149;33879;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S A; ;0;15;31;46;120231;15013;129012;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S A; ;5;5;11;21;214281;159839;67921;
2015;2º;Menos de dois milhões de clientes;Banco/financeira;15357060;BANCO WOORI BANK DO BRASIL S A; ;0;2;0;2;1287;1287;29;
