Ano;Semestre;CNPJ AC;Administradora de consórcio;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade de clientes – Consorciados;
2024;1º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;42,71;10;15;3;28;234112;
2024;1º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA; ;0;2;0;2;60750;
2024;1º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;28,12;58;39;10;107;2062318;
2024;1º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA; ;2;6;0;8;361869;
2024;1º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA;324,21;9;11;3;23;27759;
2024;1º;91341925;ADMINISTRADORA DE CONSÓRCIO SPENGLER LTDA.; ;1;0;0;1;4186;
2024;1º;12228808;ADMINISTRADORA DE CONSÓRCIO UNICOOB LTDA; ;1;5;0;6;45558;
2024;1º;90982679;ALPHA ADMINISTRADORA DE CONSÓRCIO LTDA.;3.782,34;44;12;0;56;11633;
2024;1º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;128,94;7;8;1;16;54287;
2024;1º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;181,88;10;12;1;23;54979;
2024;1º;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.; ;3;4;0;7;22499;
2024;1º;92692979;BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS; ;2;15;0;17;82191;
2024;1º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;70,49;131;135;18;284;1858300;
2024;1º;36770683;BBC ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;1;0;1;0;
2024;1º;06181431;BP ADMINISTRADORA DE CONSÓRCIO LTDA;2.256,91;24;17;3;44;10634;
2024;1º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA; ;2;5;3;10;74765;
2024;1º;52568821;BRADESCO ADMINISTRADORA DE CONSÓRCIOS LTDA.;282,56;430;312;38;780;1521795;
2024;1º;73235962;BREITKOPF ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;2;0;2;5543;
2024;1º;03762395;BRENNER ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;1;1;3799;
