Ano;Trimestre;Categoria;Tipo;CNPJ IF;Conglomerado;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;62073200; ;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; ;18;0;0;9;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;50871921; ;MT INSTITUICAO DE PAGAMENTO SA; ;16;3;16;3;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;49288113; ;KANASTRA FINANCEIRA S.A, CREDITO, FINANCIAMENTO E INVESTIMENTO; ;10;0;0;2;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;48755901; ;SOLFÁCIL SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;19;0;0;7;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36658769; ;BANCO XCMG BRASIL S.A.; ;2;0;0;1;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;34471744; ;PAGME INSTITUIÇÃO DE PAGAMENTO LTDA.; ;5;0;0;1;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;23862762; ;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;111,77;4647;241;1464;765;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;20110153; ;PAGHIPER INSTITUIÇAO DE PAGAMENTO LTDA.; ;5;0;0;1;
2025;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;99PAY IP; ;16,00;1777;134;418;570;
2025;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;24313102;99PAY IP;99PAY INSTITUICAO DE PAGAMENTO S.A.; 0 ;1777;134;418;570;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL; ; ;15;1;2;8;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;28195667;ABC-BRASIL;BANCO ABC BRASIL S.A.; ;15;1;2;8;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ACG IP; ; ;7;1;7;1;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;10868663;ACG IP;ACG INSTITUIÇÃO DE PAGAMENTO S.A.; ;7;1;7;1;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ADYEN DO BRASIL IP; ; ;49;5;9;28;
2025;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;14796606;ADYEN DO BRASIL IP;ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.; ;49;5;9;28;
