Ano;Semestre;Tipo;Irregularidade;Aplicação;
2015;1º;Reclamação não regulada;Bloqueio de conta;"Para as situações relacionadas a bloqueio de conta de depósito, por parte da instituição financeira, tais como:
- bloqueio efetuado em conta (bloqueio judicial direto, via BacenJud e via papel);
- bloqueio da conta para fim de encerramento;
- impedimento de consulta ou movimentação de conta por meios alternativos (internet, cartão em caixas eletrônicos), para forçar pagamento ou a renegociação de dívida ou por motivo de segurança (acesso com senhas incorretas, suspeita de clonagem de cartão, etc). ";
2015;1º;Reclamação não regulada;Bloqueio de margem consignável sem liberação do empréstimo (exceto cartão de crédito consignável);"Para as situações de bloqueio de margem consignável, não tendo sido liberado o valor do empréstimo (exceto cartão de crédito consignável).
";
2015;1º;Reclamação não regulada;Bloqueio de margem consignável sem utilização do crédito pelo cliente - Cartão de crédito consignável;"Para as situações de bloqueio de margem consignável, relacionado a cartão de crédito consignável, sem que o crédito tenha sido utilizado pelo cliente.
";
2015;1º;Reclamação regulada;Cancelamento de contrato a pedido do cliente não atendido;Para os casos em que a instituição financeira se recusa ou cria obstáculos para efetuar o cancelamento do contrato solicitado pelo cliente. ;
2015;1º;Reclamação não regulada;Cancelamento de contrato por iniciativa da instituição financeira;"Para as situações de cancelamento de contratos por parte da instituição financeira sem aviso ao cliente, exceto nos casos em que haja previsão regulamentar.";
2015;1º;Reclamação não regulada;Cartão pré-pago;"Para situações envolvendo cartão pré-pago em moeda nacional ou estrangeira, tais como:
- não aceitação do cartão pré-pago em estabelecimentos comerciais, inclusive quando da utilização de cartões em moeda estrangeira no exterior; 
- fornecimento de cartão com problemas;
- demora no envio de 2ª via de cartão;
- consulta de saldo e extrato.";
2015;1º;Reclamação não regulada;Cartões de débito;"Para situações relacionadas a cartões de débito, tais como:
- dificuldades de obtenção do cartão;
- fornecimento de cartão com problemas;
- demora no envio de 2ª via de cartão; 
- demora no envio de cartão com nova validade.
";
2015;1º;Reclamação regulada;Cobrança irregular de tarifa de cartão de crédito básico;Para os casos de cobrança de tarifa envolvendo cartão de crédito básico.;
2015;1º;Reclamação regulada;Cobrança irregular de tarifa de cartão de crédito diferenciado;Para os casos de cobrança de tarifa relacionada a cartão de crédito diferenciado.;
2015;1º;Reclamação regulada;Cobrança irregular de tarifa de segunda via de cartão de crédito com outras funções;"Para os casos em que há cobrança de mais de uma tarifa pelo fornecimento de segunda via de cartão de crédito com outras funções, a exemplo da função débito ou movimentação de poupança, ou quando é cobrada apenas uma tarifa mas que não é a de menor valor.";
2015;1º;Reclamação regulada;Cobrança irregular de tarifa de serviço diferenciado (exceto cartão de crédito diferenciado);"Para os casos de cobrança de tarifa de serviço diferenciado (exceto cartão de crédito diferenciado), inclusive quando houver cobrança do sacado, pessoa natural, por parte da instituição financeira recebedora, em razão do recebimento de boleto de cobrança de outra instituição";
2015;1º;Reclamação regulada;Cobrança irregular de tarifa de serviço prioritário (exceto cartão de crédito básico);Para os casos de cobrança irregular de tarifa envolvendo serviço prioritário (exceto cartão de crédito básico).;
2015;1º;Reclamação regulada;Cobrança irregular de tarifa em conta de depósito à vista ou de poupança superior ao saldo disponível;"Para os casos em que o valor do lançamento do débito referente à cobrança de tarifa em conta de depósitos à vista ou em conta de depósitos de poupança foi superior ao saldo disponível, que engloba, inclusive, eventual limite de crédito acordado entre as partes.";
