Ano;Semestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S A; ;1;7;9;17;137112;2818;134417;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;07679404;BANCO TOPAZIO S A; ;0;1;0;1;38496;1244;37439;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S A; ;0;3;35;38;114622;14863;122483;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S A; ;0;3;6;9;199498;158234;54729;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;15357060;BANCO WOORI BANK DO BRASIL S A; ;0;0;2;2;1012;1012; ;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;2;23;30;55;1257974;948190;369493;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;18;7;16;41;1162711;1125750;244959;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;BANIF (conglomerado); ;0;3;12;15;28963;4370;25107;
2015;1º;Mais de dois milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);28,22;110;531;277;918;3896801;3115690;1558999;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;BARCLAYS (conglomerado); ;0;1;0;1;3386;3352;34;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;6;26;5;37;27552; ;27552;
2015;1º;Mais de dois milhões de clientes;Conglomerado; ;BB (conglomerado);27,38;1521;3249;7476;12246;55543662;53962905;16015090;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;BBM (conglomerado); ;0;1;1;2;10643;9554;1262;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;BIC (conglomerado);446,25;77;198;151;426;172546;16989;158470;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;BMG (conglomerado);338,13;524;1021;1279;2824;1549681;24791;1526457;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;BMW (conglomerado); ;0;1;2;3;17886; ;17886;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);1.879,00;2370;3355;1459;7184;1261309;14214;1247461;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;BOFA MERRILL LYNCH (conglomerado); ;0;1;0;1;989;982;37;
2015;1º;Mais de dois milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);57,98;4373;7882;7696;19951;75417310;70126388;21970076;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;BRB (conglomerado);39,29;30;175;112;317;763518;705088;251495;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;0;2;3;5;80947;43073;38345;
2015;1º;Mais de dois milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);60,11;4535;4764;11500;20799;75440577;73436765;15098104;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;CAIXA GERAL (conglomerado); ;1;1;2;4;1171;1108;119;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);92,25;99;253;395;747;1073107;534017;686623;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;60779196;CREFISA S A  CREDITO  FINANCIAMENTO E INVESTIMENTOS; ;7;66;83;156;807270; ;807270;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;3;4;19;26;500365; ;500365;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;11271860;DREBES FINANCEIRA S A  CREDITO  FINANCIAMENTO E INVESTIMENTO; ;1;0;0;1;72578; ;72578;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO; ;5;13;8;26;6383; ;7660;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;FATOR (conglomerado); ;0;0;2;2;10691;10675;54;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;00411939;FINAMAX S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;1;3;4;74380; ;74380;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;3;22;82;107;615337;4720;614359;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;GRUPO ZEMA (conglomerado); ;0;0;3;3;4548; ;4548;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;HERVAL - HS (conglomerado); ;2;0;3;5;53753; ;53753;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;1;1;30;32;470613;12;470602;
2015;1º;Mais de dois milhões de clientes;Conglomerado; ;HSBC (conglomerado);57,49;587;1132;1024;2743;10210063;7499960;4477505;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;13;9;9;31;48074;4599;43955;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;INDUSVAL (conglomerado); ;0;2;2;4;13563;5942;8502;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;INTERMEDIUM (conglomerado); ;9;234;39;282;165151;8170;157413;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;55230916;INTESA SANPAOLO BRASIL S A    BANCO MULTIPLO; ;0;1;0;1;0; ; ;
2015;1º;Mais de dois milhões de clientes;Conglomerado; ;ITAU (conglomerado);29,52;1728;9947;10291;21966;58531243;45724428;28057283;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;J.MALUCELLI (conglomerado);449,52;165;764;203;1132;367057;4130;363323;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;JOHN DEERE (conglomerado); ;0;0;1;1;10607;292;10385;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;7;12;3;22;8877; ;8877;
2015;1º;Mais de dois milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);14,81;31;209;127;367;2092803;1440236;923697;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;1;1;4;6;35743;86;35735;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;09464032;MIDWAY S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;23;22;58;103;723720; ;723720;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;MIZUHO (conglomerado); ;0;1;0;1;1115;862;264;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;74828799;NOVO BANCO CONTINENTAL S A    BANCO MULTIPLO; ;0;0;1;1;1871;1676;494;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;OMNI (conglomerado); ;3;12;25;40;302697; ;302697;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;OPPORTUNITY (conglomerado); ;0;1;0;1;10;10; ;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;ORIGINAL (conglomerado); ;13;96;60;169;41832;3587;38643;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;PAN (conglomerado);191,43;370;1848;1423;3641;1932742;12811;1921015;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;03311443;PARATI   CREDITO  FINANCIAMENTO E INVESTIMENTO S A; ;0;2;3;5;1068; ;1068;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;PERNAMBUCANAS (conglomerado); ;0;11;50;61;1405467; ;1405467;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;PETRA (conglomerado); ;0;0;1;1;3287;3287; ;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;PINE (conglomerado); ;2;5;0;7;9595;4994;4946;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;PORTO SEGURO (conglomerado); ;11;18;138;167;844738; ;844738;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;01800019;PORTOCRED S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;10;21;31;60782; ;60782;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;PSA FINANCE (conglomerado); ;4;13;42;59;125545;456;125258;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;RENDIMENTO (conglomerado); ;0;6;8;14;12556;9113;4587;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;RODOBENS (conglomerado); ;3;0;9;12;47538;39608;19771;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;SAFRA (conglomerado);102,34;64;339;589;992;625358;264795;403995;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;05503849;SANTANA S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;1;3;4;23887; ;23887;
2015;1º;Mais de dois milhões de clientes;Conglomerado; ;SANTANDER (conglomerado);40,61;1297;3458;4995;9750;31931799;28372417;9364168;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;SANTINVEST (conglomerado); ;1;1;1;3;6198; ;6198;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;07747410;SAX S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;3;8;11;130492; ;130492;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;11970623;SENFF S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;1;2;3;4391; ;4391;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;SICREDI (conglomerado); ;0;2;4;6;1961195;1927138;88932;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;SOCIETE GENERALE (conglomerado);288,39;210;404;121;735;728166;633;727601;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;SOCOPA (conglomerado); ;0;1;6;7;21440;6382;15238;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;SOFISA (conglomerado); ;1;0;10;11;34968;24435;11353;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;04814563;SOROCRED   CREDITO  FINANCIAMENTO E INVESTIMENTO S A; ;1;2;36;39;67032; ;67032;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;09473806;TODESCREDI S A   CREDITO  FINANCIAMENTO E INVESTIMENTO; ;1;0;0;1;9171; ;9171;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado); ;1;31;103;135;650139;1386;649118;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;VOLVO (conglomerado); ;0;2;1;3;10242;246;10236;
2015;1º;Mais de dois milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);24,64;106;866;839;1811;4300286;18254;4284982;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;VR (conglomerado); ;0;0;1;1;73;73; ;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;WESTERN UNION (conglomerado); ;2;1;2;5;3;3; ;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;1;2;8;11;112601;52;112550;
