Ano;Semestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;2;1;3;12156;10409;3393;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado); ;7;30;54;91;107257; ;111428;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;36321990;AGORACRED S A SOCIEDADE DE CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;2;2;37405; ;37405;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;17;42;60;119;449554;269135;183392;
2015;1º;Menos de dois milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;2;1;3;3279;795;2513;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A; ;0;3;9;12;92711;5811;87300;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;54403563;BANCO ARBI S A; ;1;3;0;4;4447;301;4168;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;09391857;BANCO AZTECA DO BRASIL S A; ;1;1;7;9;128992;101551;43150;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;00997185;BANCO BM FBOVESPA DE SERVICOS DE LIQUIDACAO E CUSTODIA S A; ;0;0;1;1;614;614; ;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;312,13;81;303;177;561;259506;13108;246667;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S A; ;0;1;3;4;26260;1971;25065;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;37,22;58;28;133;219;1557947; ;1557947;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;5;12;19;36;501061;407088;178783;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;10690848;BANCO DA CHINA BRASIL S A; ;0;0;1;1;815;804;51;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;62232889;BANCO DAYCOVAL S A;396,25;278;1029;634;1941;701566;33279;672366;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S A; ;0;3;1;4;53790; ;53790;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A;40,30;32;10;17;59;793872;780400;139528;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARA S A; ;8;35;36;79;689782;687582;159969;
2015;1º;Mais de dois milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S A;0,85;4;12;60;76;4671553;4476407;870025;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S A; ;21;94;173;288;145486;5807;140333;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;61348538;BANCO FICSA S A; ;9;12;15;36;27318;1235;26086;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S A; ;0;1;3;4;8126;382;7785;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;90731688;BANCO FORD S A; ;0;0;3;3;517;226;296;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;10664513;BANCO GERADOR S A; ;4;10;17;31;16387;348;32120;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;34270520;BANCO IBM S A; ;0;0;1;1;1332;1;1332;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;04866275;BANCO INBURSA DE INVESTIMENTOS S A; ;0;0;6;6;2;0;2;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;02318507;BANCO KEB DO BRASIL S A; ;0;0;2;2;455;452;33;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S A; ;0;5;3;8;11004;3856;7414;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;30723886;BANCO MODAL S A; ;0;0;1;1;4072;4030;148;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;07441209;BANCO MONEO S A; ;0;0;1;1;1133;2;1131;
2015;1º;Menos de dois milhões de clientes;Banco/financeira;01023570;BANCO RABOBANK INTERNATIONAL BRASIL S A; ;0;1;0;1;4571;3724;2139;
