Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2015;8;Menos de dois milhões de clientes;Conglomerado; ;SCANIA (conglomerado); ;0;0;1;1;3726;85;3721;0;
2015;8;Mais de dois milhões de clientes;Conglomerado; ;SICREDI (conglomerado); 0 ;0;1;0;1;2097923;2065692;89736;1069023;
2015;8;Menos de dois milhões de clientes;Conglomerado; ;SOCIETE GENERALE (conglomerado);126,32;84;89;30;203;664944;696;664315;70;
2015;8;Menos de dois milhões de clientes;Conglomerado; ;SOFISA (conglomerado); ;0;1;0;1;37029;27862;10002;9442;
2015;8;Menos de dois milhões de clientes;Banco/financeira;09473806;TODESCREDI S A   CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;9598; ;9598;2;
2015;8;Menos de dois milhões de clientes;Banco/financeira;05192316;VIA CERTA FINANCIADORA S A    CREDITO  FINANCIAMENTO E INVESTIMENTOS; ;0;1;0;1;90011; ;90011;77;
2015;8;Menos de dois milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado); ;0;5;14;19;623550;1387;622528;655;
2015;8;Menos de dois milhões de clientes;Conglomerado; ;VOLVO (conglomerado); ;0;0;1;1;10617;226;10610;29;
2015;8;Mais de dois milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);2,67;11;198;120;329;4107591;17021;4093251;5678;
2015;8;Menos de dois milhões de clientes;Conglomerado; ;WESTERN UNION (conglomerado); ;0;1;0;1;3;3; ;1;
2015;8;Menos de dois milhões de clientes;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;0;1;1;2;109766;56;109713;14;
