Ano;Semestre;CNPJ AC;Administradora de consórcio;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade de clientes – Consorciados;
2024;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;47,36;14;15;5;34;295590;
2024;2º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA; ;2;3;0;5;65616;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;33,22;73;50;11;134;2196964;
2024;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;27,83;11;5;0;16;395247;
2024;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA; ;2;7;2;11;25652;
2024;2º;91341925;ADMINISTRADORA DE CONSÓRCIO SPENGLER LTDA.; ;1;0;0;1;4515;
2024;2º;12228808;ADMINISTRADORA DE CONSÓRCIO UNICOOB LTDA; ;1;0;0;1;48875;
2024;2º;90982679;ALPHA ADMINISTRADORA DE CONSÓRCIO LTDA.;1.645,88;33;19;0;52;20050;
2024;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;95,29;6;7;2;15;62963;
2024;2º;03762583;ÁPICE ADMINISTRADORA DE CONSORCIO LTDA; ;1;0;0;1;5477;
2024;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;115,24;8;8;0;16;69418;
2024;2º;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.; ;4;6;0;10;25890;
2024;2º;92692979;BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS; ;0;5;1;6;80954;
2024;2º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;29,60;54;50;5;109;1823713;
2024;2º;36770683;BBC ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;1;0;1;0;
2024;2º;06181431;BP ADMINISTRADORA DE CONSÓRCIO LTDA; ;5;6;0;11;9659;
2024;2º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA; ;2;8;3;13;79371;
2024;2º;52568821;BRADESCO ADMINISTRADORA DE CONSÓRCIOS LTDA.;108,87;167;241;23;431;1533840;
2024;2º;03762395;BRENNER ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;2;2;3814;
2024;2º;45713971;BRQUALY ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;1;0;2;1480;
2024;2º;68318773;CANOPUS ADMINISTRADORA DE CONSORCIOS S/A; ;1;7;2;10;85859;
2024;2º;59129403;CNF - ADMINISTRADORA DE CONSÓRCIOS NACIONAL LTDA.; ;0;4;0;4;5740;
2024;2º;05349595;CNP CONSÓRCIO S.A. ADMINISTRADORA DE CONSÓRCIOS;802,02;86;65;7;158;107228;
2024;2º;27268770;COIMEX ADMINISTRADORA DE CONSÓRCIOS S.A.; ;3;15;1;19;42282;
2024;2º;07336852;CONBRAV - ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;3;0;0;3;5348;
2024;2º;44196293;CONSHOP ADMINISTRADORA DE CONSORCIOS LTDA.;1.120,02;6;2;0;8;5357;
2024;2º;47658539;CONSÓRCIO NACIONAL VOLKSWAGEN - ADMINISTRADORA DE CONSÓRCIO LTDA.;271,68;19;42;3;64;69935;
2024;2º;58919903;CONVEF ADMINISTRADORA DE CONSÓRCIOS LTDA.;506,71;6;6;0;12;11841;
2024;2º;61550836;COOPERATIVA MISTA ROMA;558,79;7;17;0;24;12527;
2024;2º;59395061;DISAL ADMINISTRADORA DE CONSÓRCIOS LTDA;293,98;41;33;2;76;139465;
2024;2º;58113812;EMBRACON ADMINISTRADORA DE CONSÓRCIO LTDA;221,82;55;89;7;151;247938;
2024;2º;42735881;EVOY ADMINISTRADORA DE CONSORCIO LTDA.;1.854,42;16;5;0;21;8628;
2024;2º;91107581;FARROUPILHA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;2;5;1;8;50587;
2024;2º;33350620;FEDERACAO NAC. DE ASSOCIACOES DOS SERVIDORES DO BCO CENTRAL; ;0;0;1;1;69;
2024;2º;45725975;FINAMA ADMINISTRADORA DE CONSORCIO LTDA; ;1;0;0;1;4923;
2024;2º;00643742;FUNDACAO HABITACIONAL DO EXERCITO - FHE; ;1;2;1;4;26024;
2024;2º;85322204;GLOBO ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;4674;
2024;2º;49937055;GMAC ADMINISTRADORA DE CONSORCIOS LTDA;309,72;37;25;3;65;119461;
2024;2º;26228270;GROSCON ADMINISTRADORA DE CONSORCIOS LTDA.; ;0;1;0;1;2187;
2024;2º;26253658;GUARAPIRANGA VEÍCULOS ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;1747;
2024;2º;73516106;HS ADMINISTRADORA DE CONSÓRCIOS LTDA; ;4;20;1;25;300849;
2024;2º;00000776;ITAÚ ADMINISTRADORA DE CONSÓRCIOS LTDA.;169,64;111;125;9;245;654310;
2024;2º;41629070;KLUBI ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;5;2;0;7;36286;
2024;2º;62798475;KSK ADMINISTRADORA DE CONSÓRCIO LTDA.;652,86;10;13;0;23;15317;
2024;2º;60250776;LUIZA ADMINISTRADORA DE CONSÓRCIOS LTDA; ;4;11;2;17;102979;
2024;2º;04250224;MAGGI ADMINISTRADORA DE CONSÓRCIOS LTDA; ;1;3;0;4;40662;
2024;2º;45793395;MASSEY FERGUSON ADMINISTRADORA DE CONSÓRCIOS LTDA; ;1;4;0;5;23423;
2024;2º;76853043;MENEGALLI ADMINISTRADORA DE CONSÓRCIOS LTDA; ;1;0;0;1;4242;
2024;2º;46349106;MERCABENCO ADMINISTRADORA DE CONSORCIO LTDA; ;0;2;1;3; ;
2024;2º;05126027;MOTOASA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;0;
2024;2º;04124922;MULTIMARCAS ADMINISTRADORA DE CONSORCIOS LTDA.;586,56;18;35;1;54;30687;
2024;2º;05652765;NANUQUE ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;8264;
2024;2º;48041735;PORTO SEGURO ADMINISTRADORA DE CONSÓRCIOS LTDA;272,04;113;71;13;197;415374;
2024;2º;87433413;PORTOBENS ADMINISTRADORA DE CONSORCIOS LTDA; ;0;3;1;4;14537;
2024;2º;51597300;PRIMO ROSSI ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;2;2;4;28060;
2024;2º;09111444;PROMOVE ADMINISTRADORA DE CONSÓRCIO LTDA.;2.419,77;23;17;0;40;9505;
2024;2º;91108027;RANDON ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;5;0;6;100020;
2024;2º;23767155;RECON ADMINISTRADORA DE CONSORCIOS LTDA;249,83;6;1;0;7;24016;
2024;2º;62246228;REDENÇÃO ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;1;0;1;1816;
2024;2º;62354055;REMAZA ADMINISTRADORA DE CONSÓRCIO LTDA.; ;4;13;1;18;15567;
2024;2º;28904092;RESERVA ADMINISTRADORA DE CONSÓRCIO LTDA;2.127,09;16;13;1;30;7522;
2024;2º;51855716;RODOBENS ADMINISTRADORA DE CONSÓRCIOS LTDA.;114,44;12;28;2;42;104852;
2024;2º;55942312;SANTANDER BRASIL ADMINISTRADORA DE CONSÓRCIO LTDA.;139,40;55;68;12;135;394521;
2024;2º;96479258;SCANIA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;0;0;1;19245;
