Ano;Semestre;CNPJ AC;Administradora de consórcio;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2024;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Descumprimento de cláusulas referentes à devolução de valores;0;4;0;4;
2024;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Descumprimento de ordem judicial - Consórcio;0;0;2;2;
2024;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Insatisfação com a resposta fornecida pela administradora de consórcio relativa à demanda registrada contra ela;0;2;0;2;
2024;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Irregularidades relacionadas à liberação do crédito;2;2;0;4;
2024;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a administradora de consórcio;6;4;0;10;
2024;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Não fornecimento, remessa ou divulgação de documentos por parte de administradora de consórcio;1;3;0;4;
2024;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada por administradora de consórcio;5;0;0;5;
2024;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Renegociação de dívida - Consórcio;0;0;3;3;
2024;2º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA;Irregularidades relacionadas a informações e liquidação de valores a receber no sistema SVR do BCB por parte de consórcios;0;1;0;1;
2024;2º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA;Irregularidades relacionadas à liberação do crédito;1;0;0;1;
2024;2º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA;Irregularidades relacionadas às condições para contemplação por lance ou sorteio;0;1;0;1;
2024;2º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a administradora de consórcio;1;1;0;2;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Cancelamento de contrato a pedido do cliente não atendido por administradora de consórcio;1;1;0;2;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Cobranças Diversas - Consórcio;0;0;1;1;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Descumprimento de cláusulas referentes à devolução de valores;1;10;0;11;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Descumprimento de obrigações previstas em contratos;1;2;0;3;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Insatisfação com a resposta fornecida pela administradora de consórcio relativa à demanda registrada contra ela;0;2;0;2;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Insatisfação por parte do cliente com o atendimento prestado pela administradora de consórcio;4;0;0;4;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Irregularidades relacionadas a informações e liquidação de valores a receber no sistema SVR do BCB por parte de consórcios;46;10;0;56;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Irregularidades relacionadas à liberação do crédito;7;7;0;14;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Irregularidades relacionadas às condições para contemplação por lance ou sorteio;2;2;0;4;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a administradora de consórcio;6;7;0;13;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Não fornecimento, remessa ou divulgação de documentos por parte de administradora de consórcio;3;4;0;7;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada por administradora de consórcio;2;4;0;6;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Outras irregularidades;0;1;0;1;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Reclamações relacionadas a assuntos diversos;0;0;5;5;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Recusa de produtos ou serviços - Consórcio;0;0;1;1;
2024;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Renegociação de dívida - Consórcio;0;0;4;4;
2024;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Descumprimento de cláusulas referentes à devolução de valores;0;1;0;1;
2024;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Falta de transparência na redação de documentos por parte de administradora de consórcio;1;0;0;1;
2024;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Insatisfação com a resposta fornecida pela administradora de consórcio relativa à demanda registrada contra ela;0;1;0;1;
2024;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Insatisfação por parte do cliente com o atendimento prestado pela administradora de consórcio;1;0;0;1;
2024;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Irregularidades relacionadas a informações e liquidação de valores a receber no sistema SVR do BCB por parte de consórcios;0;1;0;1;
2024;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Irregularidades relacionadas à liberação do crédito;2;1;0;3;
2024;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a administradora de consórcio;3;1;0;4;
2024;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Não fornecimento, remessa ou divulgação de documentos por parte de administradora de consórcio;4;0;0;4;
2024;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA;Descumprimento de cláusulas referentes à devolução de valores;0;3;0;3;
2024;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA;Insatisfação com a resposta fornecida pela administradora de consórcio relativa à demanda registrada contra ela;0;1;0;1;
2024;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA;Irregularidades relacionadas à liberação do crédito;0;1;0;1;
2024;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a administradora de consórcio;1;2;0;3;
2024;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA;Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada por administradora de consórcio;1;0;0;1;
2024;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA;Recusa de produtos ou serviços - Consórcio;0;0;1;1;
2024;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA;Renegociação de dívida - Consórcio;0;0;1;1;
2024;2º;91341925;ADMINISTRADORA DE CONSÓRCIO SPENGLER LTDA.;Irregularidades relacionadas a informações e liquidação de valores a receber no sistema SVR do BCB por parte de consórcios;1;0;0;1;
2024;2º;12228808;ADMINISTRADORA DE CONSÓRCIO UNICOOB LTDA;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a administradora de consórcio;1;0;0;1;
2024;2º;90982679;ALPHA ADMINISTRADORA DE CONSÓRCIO LTDA.;Cancelamento de contrato a pedido do cliente não atendido por administradora de consórcio;0;2;0;2;
2024;2º;90982679;ALPHA ADMINISTRADORA DE CONSÓRCIO LTDA.;Descumprimento de cláusulas referentes à devolução de valores;1;3;0;4;
2024;2º;90982679;ALPHA ADMINISTRADORA DE CONSÓRCIO LTDA.;Descumprimento de obrigações previstas em contratos;0;1;0;1;
2024;2º;90982679;ALPHA ADMINISTRADORA DE CONSÓRCIO LTDA.;Insatisfação com a resposta fornecida pela administradora de consórcio relativa à demanda registrada contra ela;0;8;0;8;
2024;2º;90982679;ALPHA ADMINISTRADORA DE CONSÓRCIO LTDA.;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a administradora de consórcio;1;0;0;1;
2024;2º;90982679;ALPHA ADMINISTRADORA DE CONSÓRCIO LTDA.;Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada por administradora de consórcio;31;5;0;36;
2024;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;Descumprimento de cláusulas referentes à devolução de valores;0;2;0;2;
2024;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;Falta de transparência na redação de documentos por parte de administradora de consórcio;1;0;0;1;
2024;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;Irregularidades relacionadas a informações e liquidação de valores a receber no sistema SVR do BCB por parte de consórcios;2;1;0;3;
2024;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;Irregularidades relacionadas à liberação do crédito;0;3;0;3;
2024;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a administradora de consórcio;1;0;0;1;
2024;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada por administradora de consórcio;2;1;0;3;
2024;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;Renegociação de dívida - Consórcio;0;0;2;2;
2024;2º;03762583;ÁPICE ADMINISTRADORA DE CONSORCIO LTDA;Não fornecimento, remessa ou divulgação de documentos por parte de administradora de consórcio;1;0;0;1;
2024;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;Cancelamento de contrato a pedido do cliente não atendido por administradora de consórcio;1;2;0;3;
2024;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;Descumprimento de cláusulas referentes à devolução de valores;0;1;0;1;
2024;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;Insatisfação por parte do cliente com o atendimento prestado pela administradora de consórcio;1;0;0;1;
2024;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;Irregularidades relacionadas a informações e liquidação de valores a receber no sistema SVR do BCB por parte de consórcios;0;1;0;1;
2024;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;Irregularidades relacionadas à liberação do crédito;0;3;0;3;
2024;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a administradora de consórcio;3;0;0;3;
2024;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;Não fornecimento, remessa ou divulgação de documentos por parte de administradora de consórcio;1;0;0;1;
2024;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada por administradora de consórcio;2;0;0;2;
2024;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;Outras irregularidades;0;1;0;1;
2024;2º;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.;Descumprimento de cláusulas referentes à devolução de valores;0;1;0;1;
