Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado); ;7;1;3;11;72904;67037;10450;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABN AMRO (conglomerado); ;0;0;1;1;0;0; ;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13140088;ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO;50,49;175;122;11;308;3465479;3465130;51327;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10868663;ACG INSTITUIÇÃO DE PAGAMENTO S.A.; ;0;1;0;1;55900;55900; ;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado); ;10;17;22;49;461441;1096;460392;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK (conglomerado);137,67;303;498;78;879;2200784;1754355;1433106;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;3;4;1;8;584349;127;584222;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;4;1;3;8;30063;20088;16440;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ALFA (conglomerado); ;7;39;15;61;440020;267388;173617;
2023;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AME DIGITAL (conglomerado);2,44;80;109;10;199;32678718;32677662;28906;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ANDBANK (conglomerado); ;0;2;4;6;57008;4365;52663;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASAAS (conglomerado); ;19;39;6;64;599479;599479; ;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;54403563;BANCO ARBI S.A.; ;6;9;1;16;228614;220578;12176;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00997185;BANCO B3 S.A.; ;0;0;1;1;1310;1310; ;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;0;3;3;31225;1317;30097;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;08357240;BANCO CSF S.A.;6,65;55;87;81;223;8263514; ;8263514;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;0;0;2;2;602464;534543;204868;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;92874270;BANCO DIGIMAIS S.A.;171,59;45;30;30;105;262251;98319;192300;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.; ;21;31;10;62;1132356;866700;646650;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.;33,41;35;29;13;77;1047539;925766;445065;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.; ;4;29;22;55;9584627;9025082;3222626;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33644196;BANCO FATOR S.A.; ;0;0;1;1;164;161;6;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;58616418;BANCO FIBRA S.A.; ;2;2;0;4;164314;5164;160144;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;62237425;BANCO FIDIS S/A; ;1;2;0;3;1440;249;1215;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;53518684;BANCO HSBC S.A.; ;0;5;3;8;4500;4487;79;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04866275;BANCO INBURSA S.A.;1.059,17;83;37;6;126;78363;4;78359;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;91884981;BANCO JOHN DEERE S.A.; ;0;2;0;2;13002;253;12810;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;02318507;BANCO KEB HANA DO BRASIL S.A.; ;0;0;1;1;922;912;26;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;1;0;0;1;3593;2336;1605;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;78632767;BANCO OURINVEST S.A.; ;4;10;1;15;449065;446041;3078;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;61820817;BANCO PAULISTA S.A.; ;11;14;5;30;118103;9558;108858;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;11;8;1;20;290921;15208;282936;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO SICOOB (conglomerado); ;25;60;22;107;6382543;2846457;4303771;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;2;11;1;14;12653;11580;2664;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO TOYOTA DO BRASIL S.A. (conglomerado); ;3;4;4;11;157427;15239;143012;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;7;15;7;29;1770416;694739;1405873;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANESTES (conglomerado); ;19;25;10;54;1409374;1358381;480696;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANRISUL (conglomerado); ;28;274;60;362;5257422;3736054;4126475;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BARIGUI (conglomerado); ;16;31;9;56;357486;324273;55106;
2023;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BB (conglomerado);9,46;706;2882;1011;4599;74579521;67907271;36325357;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BBC (conglomerado); ;1;7;2;10;7407; ;7407;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;20443996;BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;7;0;7;227857;8;227852;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10506341;BLU INSTITUIÇÃO DE PAGAMENTO LTDA.; ;0;0;2;2;37440;37440; ;
2023;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BMG (conglomerado);49,01;640;924;152;1716;13057008;8253347;7498736;
