Ano;Mês;Tipo;Irregularidade;Aplicação;
2016;4;Reclamação não regulada;Bloqueio de margem consignável sem utilização do crédito pelo cliente - Cartão de crédito consignável;"Para as situações de bloqueio de margem consignável, relacionado a cartão de crédito consignável, sem que o crédito tenha sido utilizado pelo cliente.
";
2016;4;Reclamação regulada;Cancelamento de contrato a pedido do cliente não atendido;Para os casos em que a instituição financeira se recusa ou cria obstáculos para efetuar o cancelamento do contrato solicitado pelo cliente. ;
2016;4;Reclamação não regulada;Cancelamento de contrato por iniciativa da instituição financeira;"Para as situações de cancelamento de contratos por parte da instituição financeira sem aviso ao cliente, exceto nos casos em que haja previsão regulamentar.";
2016;4;Reclamação não regulada;Cartão pré-pago;"Para situações envolvendo cartão pré-pago em moeda nacional ou estrangeira, tais como:
- não aceitação do cartão pré-pago em estabelecimentos comerciais, inclusive quando da utilização de cartões em moeda estrangeira no exterior; 
- fornecimento de cartão com problemas;
- demora no envio de 2ª via de cartão;
- consulta de saldo e extrato.";
2016;4;Reclamação não regulada;Cartões de débito;"Para situações relacionadas a cartões de débito, tais como:
- dificuldades de obtenção do cartão;
- fornecimento de cartão com problemas;
- demora no envio de 2ª via de cartão; 
- demora no envio de cartão com nova validade.
";
2016;4;Reclamação regulada;Cobrança irregular de tarifa de serviço diferenciado (exceto cartão de crédito);Para os casos de cobrança de tarifa de serviço diferenciado (exceto cartão de crédito).;
2016;4;Reclamação regulada;Cobrança irregular de tarifa de serviço prioritário (exceto cartão de crédito);Para os casos de cobrança irregular de tarifa envolvendo serviço prioritário (exceto cartão de crédito).;
2016;4;Reclamação regulada;Cobrança irregular de tarifa de serviço prioritário referente a cartão de crédito ;Para os casos de cobrança de tarifa envolvendo serviço prioritário em cartão de crédito.;
2016;4;Reclamação regulada;Cobrança irregular de tarifa diferenciada em cartão de crédito;Para os casos de cobrança de tarifa diferenciada em cartão de crédito.;
2016;4;Reclamação regulada;Cobrança irregular de tarifa em conta de depósito à vista ou de poupança superior ao saldo disponível;"Para os casos em que o valor do lançamento do débito referente à cobrança de tarifa em conta de depósitos à vista ou em conta de depósitos de poupança foi superior ao saldo disponível, que engloba, inclusive, eventual limite de crédito acordado entre as partes.";
2016;4;Reclamação regulada;Cobrança irregular de tarifa pela prestação de serviços especiais a pessoa física;"Para os casos de cobrança de tarifa pela prestação de serviços especiais a pessoas naturais, cuja legislação e regulamentação específicas definem as tarifas e as condições em que são aplicáveis, a exemplo dos serviços referentes ao (às): 
- crédito rural;
- Sistema Financeiro de Habitação - SFH;
- Fundo de Garantia do Tempo de Serviço - FGTS;
- Fundo PIS/PASEP;
- penhor civil previsto no Decreto nº 6.473, de 5.6.2008;
- contas especiais de que trata a Resolução nº 3.211, de 30.6.2004; 
- contas de registro e controle disciplinadas pela Resolução nº 3.402, de 6.9.2006;
- operações de microcrédito de que trata a Resolução nº 3.422, de 30.11.2006.";
2016;4;Reclamação regulada;Cobrança irregular de tarifa pela prestação de serviços essenciais à pessoa natural;"Para os casos envolvendo cobrança de tarifa pela prestação de serviços essenciais a pessoas naturais, assim considerados aqueles relativos a:

I- Conta de depósito à vista: 
- fornecimento de cartão com função débito; 
- fornecimento de segunda via do cartão de débito, exceto nos casos decorrentes de perda, roubo, furto, danificação e outros motivos não imputáveis à instituição emitente; 
- realização de até quatro saques, por mês, em guichê de caixa, inclusive por meio de cheque ou de cheque avulso, ou em terminal de autoatendimento; 
- realização de até duas transferências de recursos entre contas na própria instituição, por mês, em guichê de caixa, em terminal de autoatendimento e/ou pela internet; 
- fornecimento de até dois extratos, por mês, contendo a movimentação dos últimos 30 dias por meio de guichê de caixa e/ou terminal de autoatendimento; 
- realização de consultas mediante utilização da internet; 
- fornecimento, até 28 de fevereiro de cada ano, do extrato consolidado, discriminando, mês a mês, os valores cobrados no ano anterior relativos a tarifas, entre outros; 
- compensação de cheques; 
- fornecimento de até dez folhas de cheques por mês, desde que o cliente reúna os requisitos necessários à utilização de cheques, conforme a regulamentação em vigor e condições pactuadas; e 
- prestação de qualquer serviço por meios eletrônicos, no caso de contas cujos contratos prevejam utilizar exclusivamente meios eletrônicos. 

II- Conta de depósitos de poupança:
- fornecimento de cartão com função movimentação; 
- fornecimento de segunda via do cartão, exceto nos casos de pedidos de reposição formulados pelo correntista, decorrentes de perda, roubo, furto, danificação e outros motivos não imputáveis à instituição emitente; 
- realização de até dois saques, por mês, em guichê de caixa ou em terminal de autoatendimento; 
- realização de até duas transferências, por mês, para conta de depósitos de mesma titularidade; 
- fornecimento de até dois extratos, por mês, contendo a movimentação dos últimos trinta dias; 
- realização de consultas mediante utilização da internet; 
- fornecimento, até 28 de fevereiro de cada ano, do extrato consolidado, discriminando, mês a mês, os valores cobrados no ano anterior relativos a tarifas, entre outros;
- prestação de qualquer serviço por meios eletrônicos, no caso de contas cujos contratos prevejam utilizar exclusivamente meios eletrônicos. ";
2016;4;Reclamação regulada;Cobrança irregular de tarifa por serviços não contratados;Para os casos envolvendo a cobrança de tarifa pela prestação de serviços não contratados ou autorizados pelo cliente ou usuário.;
2016;4;Reclamação regulada;Cobrança irregular para fins de remuneração de correspondentes no País;"Para os casos envolvendo cobrança adicional de tarifa, comissão, valores referentes a ressarcimento de serviços prestados por terceiros ou qualquer outra forma de remuneração, pelo fornecimento de produtos ou serviços por correspondente no País.";
2016;4;Reclamação não regulada;Cobranças diversas;"Para situações diversas relacionados a cobrança, tais como:
- cobrança de dívida em atraso, incluindo juros de mora, multa, comissão de permanência, despesas com escritório de cobrança, sem especificar o valor correspondente a cada item cobrado;
- cobrança de ressarcimento de serviços prestados por terceiros;
- imposição de constrangimentos em cobranças de dívidas, inclusive cartão de crédito.";
2016;4;Reclamação não regulada;Cobranças diversas em operação de crédito consignado;"Para as situações envolvendo cobrança, por parte da instituição financeira, de parcela, já quitada, incluída no saldo devedor, em operações de crédito consignado.";
2016;4;Reclamação regulada;Concessão de crédito (exceto consignado) sem a formalização do título adequado;"Para os casos envolvendo a concessão de crédito em todas as demais modalidades por parte da instituição financeira (exceto as de consignado), sem existir, contudo, a formalização do título constitutivo da dívida. Nesta rubrica não estão incluídas as situações relacionadas à conta de pagamento pós paga de cartões de crédito (exceto os de consignado) sem a formalização do título adequado.
";
2016;4;Reclamação regulada;Concessão de crédito consignado mediante a formalização de título adequado com base em documentação falsa;"Para os casos envolvendo a concessão de crédito exclusivamente na modalidade consignado, por parte da instituição financeira, mediante a formalização  do título constitutivo da dívida com base em documentação falsa. Nesta rubrica não estão incluídas as situações relacionadas à conta de pagamento pós paga de cartão de crédito consignado, cujo título foi formalizado a partir de documentação falsa.
";
2016;4;Reclamação regulada;Concessão de crédito consignado sem a formalização do título adequado;"Para os casos envolvendo a concessão de crédito exclusivamente na modalidade consignado, por parte da instituição financeira, sem existir, contudo, a formalização do título constitutivo da dívida. Nesta rubrica não estão incluídas as situações relacionadas à conta de pagamento pós paga de cartão de crédito consignado sem a formalização do título adequado.
";
2016;4;Reclamação regulada;Concessão de demais créditos (exceto consignado) mediante a formalização de título adequado com base em documentação falsa;"Para os casos envolvendo a concessão de crédito em todas as demais modalidades por parte da instituição financeira (exceto as de consignado) mediante a formalização  do título constitutivo da dívida com base em documentação falsa. Nesta rubrica não estão incluídas as situações relacionadas à conta de pagamento pós paga de cartões de crédito (exceto os de consignado), cujo título foi formalizado a partir de documentação falsa.
";
2016;4;Reclamação regulada;Contratação de pacote de serviços sem contrato específico;Para os casos envolvendo a contratação de pacote de serviços sem contrato específico.;
2016;4;Reclamação não regulada;Descumprimento contratual;"Para as situações envolvendo descumprimento, por parte da instituição financeira, de cláusulas contratuais de assuntos não sujeitos à supervisão do Banco Central.";
2016;4;Reclamação não regulada;Descumprimento de ordem judicial;"Para as situações envolvendo descumprimento, por parte da instituição financeira, de ordem judicial, tais como:
- bloqueio ou desbloqueio de conta;
- fornecimento de extratos e outros documentos;
- exclusão de restrições cadastrais. ";
2016;4;Reclamação regulada;Descumprimento de prazo de bloqueio ou de prazo de devolução de cheque;"Para os casos relacionados a: 
- descumprimento de prazo de bloqueio de cheque; 
- descumprimento de prazo de entrega de cheque devolvido ao depositante; ou 
- não remuneração pelo descumprimento por dia de atraso do prazo de desbloqueio do cheque.
";
2016;4;Reclamação regulada;Descumprimento de prazo de resposta da reclamação registrada no BCB;"Para os casos de descumprimento do prazo de resposta por parte da instituição financeira às reclamações registradas no Banco Central do Brasil.
";
2016;4;Reclamação regulada;Descumprimento do horário de funcionamento das instituições financeiras;"Para os casos envolvendo irregularidades relacionadas a descumprimento de horário de funcionamento das instituições financeiras, tais como:
- não divulgação do horário de funcionamento;
- não divulgação de alteração no horário de funcionamento;
- não cumprimento do horário mínimo (5 horas diárias ininterruptas, com atendimento obrigatório no período de 12h às 15h);
- suspensão do atendimento.";
2016;4;Reclamação regulada;Descumprimento do prazo resposta da Ouvidoria;Para os casos de descumprimento do prazo por parte da Ouvidoria da insituição financeira para apresentação de resposta conclusiva à demanda registrada pelo cliente.;
2016;4;Reclamação regulada;Débito em conta de depósito não autorizado pelo cliente;Para as situações envolvendo débitos em conta de depósito comandados pela instituição financeira sem a respectiva autorização do cliente.;
2016;4;Reclamação não regulada;Dificuldade na liberação ou substituição de bem;"Para as situações relacionadas a bens dados em garantia, tais como:
- demora na substituição de bens dados em garantia;
- demora no fornecimento de documentos (2a via de DUT, Kit para Opção de Compra) necessários à liberação de veículo (arrendamento mercantil);
- demora na liberação de bem dado em garantia de financiamento (liberação de gravame em veículos) após a quitação da operação;
- demora na liberação de hipoteca ou alienação fiduciária de imóveis.";
2016;4;Reclamação não regulada;Dificuldade para efetuar resgate antecipado de aplicação;Para os casos envolvendo recusa ou embaraços criados pela instituição financeira para o resgate antecipado de aplicações.;
2016;4;Reclamação regulada;Encaminhamento de instrumentos de pagamento não solicitados;Para os casos em que a instituição financeira encaminha ao domicílio do cliente ou usuário instrumento de pagamento sem sua expressa solicitação ou autorização.;
2016;4;Reclamação regulada;Falta de transparência na redação de documentos;"Para os casos envolvendo a não utilização de redação clara, objetiva e adequada à natureza e à complexidade da operação ou do serviço, em contratos, recibos, extratos, comprovantes e documentos destinados ao público, de forma a permitir o entendimento do conteúdo e a identificação de prazos, valores, encargos, multas, datas, locais e demais condições.";
2016;4;Reclamação não regulada;Golpe;Para as situações relacionadas à ação praticada por eventuais golpistas.;
2016;4;Reclamação regulada;Inclusão de dados incorretos no CCS (Cadastro de Clientes do Sistema Financeiro Nacional);"Para os casos envolvendo a inclusão, por parte de instituição financeira, de dados incorretos no Cadastro de Clientes do Sistema Financeiro Nacional (CCS).";
2016;4;Reclamação regulada;Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;"Para os casos de insatisfação com a resposta (incompleta ou incorreta) recebida da instituição financeira à reclamação registrada no Banco Central do Brasil.
";
2016;4;Reclamação não regulada;Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento;"Para situações diversas envolvendo atendimento prestado pelo Serviço de Atendimento ao Consumidor (SAC) ou Central de Relacionamento, tais como:
- atendimento descortês; 
- dificuldade de acesso;
- não estabelecimento de prazos ou não cumprimento dos prazos estabelecidos para resposta às consultas e reclamações;
- não fornecimento do número de protocolo do SAC pela instituição financeira;
- não disponibilização/entrega de gravação telefônica solicitada pelo cliente.";
2016;4;Reclamação não regulada;Insatisfação com o atendimento prestado por agências;"Para situações diversas envolvendo atendimento prestado na agência do cliente ou usuário, tais como:
- atendimento descortês; 
- não estabelecimento de prazos ou não cumprimento dos prazos estabelecidos para resposta às consultas e reclamações;
- reclamações envolvendo os produtos ""seguro"" ou ""plano de previdência privada"", manifestada contra a instituição fiscalizada e não contra a seguradora ou contra empresa de previdência privada, tais como: demora no cancelamento ou no pagamento do seguro, demora no resgate da aplicação da previdência, entre outros.
- demora em efetuar transferência de agência;
- recusa de atendimento em agência diversa daquela onde o cliente possui conta;
- demora para transferência de titularidade do devedor em operações de financiamento; 
- demora para alteração de domicílio bancário (solicitação feita por estabelecimento comercial);
- situações decorrentes do não atendimento em função de greve bancária.";
2016;4;Reclamação regulada;Irregularidades envolvendo a abertura de conta-salário;"Para os casos em que a instituição financeira, contratada para realizar serviços de pagamento de salários, proventos, soldos, vencimentos, aposentadorias, pensões e similares, não faz os respectivos créditos em conta-salário ou não cumpre as eventuais condições e restrições quanto à abertura da conta-salário.
";
2016;4;Reclamação regulada;Irregularidades no processo de encerramento de conta de depósitos à vista;"Para as situações envolvendo o não cumprimento das condições exigidas para o encerramento de conta de depósito à vista, tais como:
- prazo para adoção das providências relacionadas à rescisão do contrato;
- expedição de aviso ao correntista.";
2016;4;Reclamação regulada;Irregularidades relacionadas a boletos de pagamento (exceto ausência de contrato com beneficiário);"Para os casos envolvendo boletos de pagamento, tais como:
- ausência de informações mínimas obrigatórias em boletos de pagamento; 
- apresentação, não autorizada, por meio eletrônico (Débito Direto Autorizado - DDA).";
2016;4;Reclamação regulada;Irregularidades relacionadas a cédulas ou moedas;"Para as situações relacionadas ao meio circulante, tais como:
- recusa em substituir cédulas em mau estado de conservação;
- recusa em substituir cédulas suspeita de ter sido danificada por acionamento de dispositivo antifurto, na hipóstese de saque, inclusive em terminais de autoatendimento;
- não ressarcimento ao apresentante do valor correspondente  aos exemplares declarados legítimos, após o resultado do exame do Banco Central.";
2016;4;Reclamação regulada;Irregularidades relacionadas a operações no mercado de câmbio;"Para os casos envolvendo operações no mercado de câmbio, tais como:
- demora para aviso de recepção de ordem de pagamento do exterior;
- remessa para liquidação pronta não cumprida no prazo.";
