Ano;Trimestre;Categoria;Tipo;CNPJ IF;Conglomerado;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;78626983; ;BANCO VR S.A.; ;11;0;0;3;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;62073200; ;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; ;12;0;0;6;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;53518684; ;BANCO HSBC S.A.; ;20;0;0;16;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;49931906; ;TRIO INSTITUICAO DE PAGAMENTO LTDA.; ;13;0;0;7;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;49288113; ;KANASTRA FINANCEIRA S.A, CREDITO, FINANCIAMENTO E INVESTIMENTO; ;2;0;0;1;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;48755901; ;SOLFÁCIL SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;12;0;0;6;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;46241852; ;COMPREV - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;10;0;0;2;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;45283173; ;BBVA BRASIL BANCO DE INVESTIMENTO S.A.; ;3;0;0;1;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;35858847; ;VIATECH BANK PROCESSADORA DE PAGAMENTO LTDA; ;4;0;0;1;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;35542555; ;UNLIMIT BRASIL INSTITUICAO DE PAGAMENTO LTDA; ;9;1;5;2;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;12815827; ;ROADCARD INSTITUICAO DE PAGAMENTO INTEGRADO DA LOGISTICA S.A.; ;4;0;0;1;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;11703662; ;BANCO TRAVELEX S.A.; ;1;0;0;1;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;09313766; ;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;8;0;0;8;
2025;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07656500; ;BANCO KDB DO BRASIL S.A.; ;7;0;0;2;
2025;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;99PAY IP; ;18,21;2493;136;453;749;
2025;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;24313102;99PAY IP;99PAY INSTITUICAO DE PAGAMENTO S.A.; 0 ;2493;136;453;749;
