Ano;Semestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2014;2º;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;1;0;5;6;11953;9946;3640;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO; ;11;46;97;154;99272; ;99272;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;36321990;AGORACRED S A SOCIEDADE DE CREDITO  FINANCIAMENTO E INVESTIMENTO; ;2;1;1;4;32634; ;32634;
2014;2º;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;19;65;46;130;455279;269225;189478;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A; ;1;6;15;22;86886;5481;81836;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;03532415;BANCO ABN AMRO S A; ;0;1;4;5;72;66;12;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;54403563;BANCO ARBI S A; ;1;0;0;1;4483;306;4202;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;09391857;BANCO AZTECA DO BRASIL S A; ;0;2;3;5;128865;98990;47204;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;00997185;BANCO BM FBOVESPA DE SERVICOS DE LIQUIDACAO E CUSTODIA S A; ;0;1;2;3;617;617; ;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;48795256;BANCO BRACCE S A; ;0;1;6;7;3114;680;2443;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;27937333;BANCO BRJ S A; ;0;0;2;2;262;187;86;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;33132044;BANCO CEDULA S A; ;1;0;0;1;12235;2781;9711;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S A; ;0;1;2;3;24346;2080;23094;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;41,71;59;41;139;239;1414441; ;1414441;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;4;11;23;38;499280;399491;181578;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;62232889;BANCO DAYCOVAL S A;306,19;194;1219;634;2047;633584;30704;606790;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S A; ;0;1;1;2;54548; ;54548;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A; ;14;32;12;58;775797;762198;139800;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARA S A; ;21;35;29;85;667834;664889;158424;
2014;2º;Mais de dois milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S A;0,23;1;22;48;71;4344516;4140730;842980;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S A; ;22;126;153;301;192273;6246;186753;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;61348538;BANCO FICSA S A; ;14;51;20;85;32634;1335;37565;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S A; ;0;0;4;4;9104;324;8800;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;90731688;BANCO FORD S A; ;0;1;1;2;521;230;295;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;10664513;BANCO GERADOR S A; ;5;19;14;38;53108;312;52846;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;33588252;BANCO INDUSCRED DE INVESTIMENTO S A; ;0;0;1;1;45;17;28;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S A; ;1;3;7;11;12188;3603;8831;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;00253448;BANCO POTTENCIAL S A; ;0;0;1;1;6826;6028;987;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S A; ;1;8;8;17;107815;2615;105289;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;04866275;BANCO STANDARD DE INVESTIMENTOS S A; ;0;5;14;19;3;1;2;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S A; ;0;3;15;18;117700;14871;105825;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S A; ;1;7;24;32;162275;126566;49038;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;09526594;BANCO VIPAL S A; ;0;0;1;1;1544;24;1521;
2014;2º;Menos de dois milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;5;33;35;73;1156296;886317;324176;
2014;2º;Menos de dois milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;19;9;7;35;1158114;1126897;199535;
2014;2º;Menos de dois milhões de clientes;Conglomerado; ;BANIF (conglomerado); ;0;1;12;13;27260;4076;23835;
