Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2014;10;Menos de dois milhões de clientes;Banco/financeira;60779196;CREFISA S A  CREDITO  FINANCIAMENTO E INVESTIMENTOS; ;1;4;15;20;645576; ;645576; ;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;0;0;1;1;471455; ;471455;1109;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;DEUTSCHE (conglomerado); ;0;0;1;1;5032;5013;176;409;
2014;10;Menos de dois milhões de clientes;Banco/financeira;00411939;FINAMAX S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;3;3;73162; ;73162;1534;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;1;7;18;26;570925;6714;569918;118;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;0;3;6;9;450218;12;450208; ;
2014;10;Mais de dois milhões de clientes;Conglomerado; ;HSBC (conglomerado);12,17;122;183;187;492;10023796;7381880;4400392;6235664;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;0;2;2;4;56680;4023;53145;782;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;INDUSVAL (conglomerado); ;0;1;0;1;14775;5801;9914;3017;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;INTERMEDIUM (conglomerado); ;0;79;5;84;158499;7135;151762;2379;
2014;10;Mais de dois milhões de clientes;Conglomerado; ;ITAU (conglomerado);5,12;292;2122;1668;4082;57029536;44770048;27120666;27492103;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;J.MALUCELLI (conglomerado);29,19;10;268;22;300;342468;3878;339013;1253;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;0;16;1;17;10576; ;10576;220;
2014;10;Mais de dois milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);2,84;6;103;41;150;2107224;1373345;964743;975770;
2014;10;Menos de dois milhões de clientes;Banco/financeira;09464032;MIDWAY S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;1;0;5;6;533340; ;533340;25;
2014;10;Menos de dois milhões de clientes;Banco/financeira;05351887;MULTIPLA CREDITO  FINANCIAMENTO E INVESTIMENTO S A; ;0;2;0;2;5178; ;5178;28;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;OMNI (conglomerado); ;2;5;4;11;287805; ;287805;404;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;ORIGINAL (conglomerado); ;0;32;34;66;40890;4964;36328;1206;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;PANAMERICANO (conglomerado);19,53;36;809;189;1034;1842510;12334;1831115;2925;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;PERNAMBUCANAS (conglomerado); ;0;3;5;8;1246951; ;1246951;29;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;PETRA (conglomerado); ;0;1;0;1;3027;3027; ;227;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;PINE (conglomerado); ;1;0;0;1;10067;5016;5372;1429;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;PORTO SEGURO (conglomerado); ;1;0;19;20;781463; ;781463; ;
2014;10;Menos de dois milhões de clientes;Banco/financeira;01800019;PORTOCRED S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;1;3;4;56874; ;56874;2669;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;PSA FINANCE (conglomerado); ;0;1;6;7;132746;456;132497;192;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;QUERO-QUERO (conglomerado); ;0;0;1;1;83741; ;83741; ;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;RENDIMENTO (conglomerado); ;0;1;0;1;12443;8769;4784;2702;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;SAFRA (conglomerado); ;1;197;164;362;574701;255327;362868;137262;
2014;10;Mais de dois milhões de clientes;Conglomerado; ;SANTANDER (conglomerado);11,39;355;1086;1068;2509;31146706;27729958;9468427;22956024;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;SANTINVEST (conglomerado); ;0;1;0;1;6206; ;6206;116;
2014;10;Menos de dois milhões de clientes;Banco/financeira;07747410;SAX S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;1;2;3;113885; ;113885; ;
