Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36583700;QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;5;5;11;21;16490; ;16490;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;01722480;QUERO-QUERO VERDECARD INSTITUIÇÃO DE PAGAMENTO S.A.; ;3;9;2;14;645025;300059;393740;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27351731;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;29;89;56;174;5352924;296236;5330032;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;RECARGAPAY (conglomerado);13,11;86;81;17;184;6555254;6555170;1466;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;RENDIMENTO (conglomerado); ;5;12;3;20;238062;234202;7607;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;65697260;REPOM S.A.; ;1;0;1;2;270751;270751;4;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;RODOBENS (conglomerado); ;1;4;1;6;30870;1645;29554;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;06249129;RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;2;2;18463;5;18458;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SAFRA (conglomerado);31,46;182;448;144;774;5783294;1959065;4148293;
2023;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SANTANDER (conglomerado);15,59;1020;3143;1179;5342;65403582;59598818;26109063;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00122327;SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;3;3;0;6;12732;371;12361;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SCANIA (conglomerado); ;1;0;1;2;6323;5345;6256;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SENFF (conglomerado); ;8;13;18;39;546108;262329;348429;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;29759316;SERVNET INSTITUIÇÃO DE PAGAMENTO LTDA.; ;0;1;0;1;289; ;289;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;38372267;SHPP BRASIL INSTITUIÇÃO DE PAGAMENTO E SERVIÇOS DE PAGAMENTOS LTDA.; ;9;21;14;44;1170944;1170944; ;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SICREDI (conglomerado); ;26;27;27;80;8248603;8224955;239192;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SIMPALA (conglomerado); ;0;6;1;7;7111;29;7082;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SOCIAL BANK (conglomerado); ;4;2;0;6;9245;9242;25;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;03881423;SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;9;8;13;30;2803;436;2367;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SOFISA (conglomerado);52,63;46;45;12;103;873915;863953;68040;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;STONE (conglomerado); ;29;64;8;101;5306908;5306809;100;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SUMUP (conglomerado); ;11;11;6;28;132;0;132;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;35084163;SUPERBID PAY INSTITUICAO DE PAGAMENTO LTDA; ;5;0;1;6;315521;315521; ;
