Ano;Semestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;BRASIL PLURAL (conglomerado); ;2;1;0;3;1903;1902;20;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;BRB (conglomerado);83,18;64;193;244;501;769385;692280;264701;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;0;0;1;1;79145;41539;37979;
2016;1º;Mais de dois milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);50,74;4022;5866;12159;22047;79259341;77026936;14566041;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;CAIXA GERAL (conglomerado); ;0;0;1;1;1381;1312;130;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;09313766;CARUANA S A    SOCIEDADE DE CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;3946; ;3946;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;CCB (conglomerado);243,22;42;222;238;502;172681;11068;163426;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);78,24;87;286;340;713;1111937;548984;710479;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;CREDIT SUISSE (conglomerado); ;0;0;2;2;3706;3706;106;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;12599971;CREDITA S A CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;390; ;390;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;60779196;CREFISA S A  CREDITO  FINANCIAMENTO E INVESTIMENTOS; ;10;115;118;243;1042891; ;1042891;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;2;10;18;30;525334; ;525334;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;DAYCOVAL (conglomerado);397,51;310;1128;409;1847;779841;41067;744213;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;11271860;DREBES FINANCEIRA S A  CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;1;0;1;67032; ;67032;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO; ;5;13;13;31;13570; ;13570;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;FATOR (conglomerado); ;0;1;0;1;10725;10722;30;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;00411939;FINAMAX S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;6;6;73466; ;73466;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;3;43;90;136;586163;1074;585397;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;GOLDMAN SACHS (conglomerado); ;0;0;2;2;261;261; ;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;HERVAL - HS (conglomerado); ;0;0;2;2;59668; ;59668;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;2;7;38;47;445584;17;445570;
2016;1º;Mais de dois milhões de clientes;Conglomerado; ;HSBC (conglomerado);25,23;331;868;695;1894;13119134;10079926;4945867;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;4;5;10;19;45192;4038;41646;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;INDUSVAL (conglomerado); ;0;1;0;1;7680;6303;1969;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;ING (conglomerado); ;0;0;1;1;138;89;58;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;INTERMEDIUM (conglomerado); ;13;252;72;337;207333;12603;195397;
2016;1º;Mais de dois milhões de clientes;Conglomerado; ;ITAU (conglomerado);59,05;3560;8515;10133;22208;60280674;47565831;28003627;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;3;6;7;16;8281; ;8281;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;MÁXIMA (conglomerado); ;0;0;2;2;3301;3301; ;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);33,74;67;420;176;663;1985309;1503030;798728;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;1;1;2;4;32798;53;32792;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;09464032;MIDWAY S A    CREDITO  FINANCIAMENTO E INVESTIMENTO;31,05;31;33;71;135;998260; ;998260;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;MODAL (conglomerado); ;1;1;0;2;4361;4324;135;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;04379829;NEGRESCO S A    CREDITO  FINANCIAMENTO E INVESTIMENTOS; ;1;0;1;2;181586; ;181586;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;OMNI (conglomerado);29,90;40;31;72;143;1337686; ;1337686;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;ORIGINAL (conglomerado); ;0;75;59;134;57283;9563;49562;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;OURINVEST (conglomerado); ;0;1;0;1;11084;9330;1757;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;PAN (conglomerado);87,11;165;1849;1534;3548;1894110;14339;1881246;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;PARANÁ BANCO (conglomerado); ;23;435;240;698;391547;4699;387238;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;03311443;PARATI   CREDITO  FINANCIAMENTO E INVESTIMENTO S A; ;0;2;0;2;751; ;751;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;PERNAMBUCANAS (conglomerado); ;7;12;51;70;1450311; ;1450311;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;PETRA (conglomerado); ;0;0;1;1;3662;3662; ;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;PINE (conglomerado); ;3;1;1;5;8677;4297;4681;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;PORTO SEGURO (conglomerado);34,14;31;76;115;222;907851; ;907851;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;01800019;PORTOCRED S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;1;14;25;40;68376; ;68376;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;PSA FINANCE (conglomerado); ;3;11;26;40;100199;381;99924;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;RENDIMENTO (conglomerado); ;0;1;5;6;14269;9981;5557;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;RODOBENS (conglomerado); ;0;2;4;6;21267;12241;16420;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;SAFRA (conglomerado);125,80;89;478;458;1025;707452;261007;489496;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;05503849;SANTANA S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;2;1;3;6;25078; ;25078;
