Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2015;1;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;1;0;1;12335;10352;3660;3207;
2015;1;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO; ;3;6;15;24;102767; ;102767; ;
2015;1;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;5;1;7;13;449447;269164;183400;0;
2015;1;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A; ;0;0;4;4;89889;5640;84646;1520;
2015;1;Menos de dois milhões de clientes;Banco/financeira;54403563;BANCO ARBI S A; ;0;1;0;1;4469;296;4194;152;
2015;1;Menos de dois milhões de clientes;Banco/financeira;09391857;BANCO AZTECA DO BRASIL S A; ;1;0;1;2;128930;100455;44764;80499;
2015;1;Menos de dois milhões de clientes;Banco/financeira;00997185;BANCO BM FBOVESPA DE SERVICOS DE LIQUIDACAO E CUSTODIA S A; ;0;0;1;1;614;614; ;44;
2015;1;Menos de dois milhões de clientes;Banco/financeira;48795256;BANCO BRACCE S A; ;0;1;0;1;3260;772;2497;110;
2015;1;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;9,85;15;4;15;34;1521670; ;1521670; ;
2015;1;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;1;2;6;9;498845;402408;179448;271995;
2015;1;Menos de dois milhões de clientes;Banco/financeira;10690848;BANCO DA CHINA BRASIL S A; ;0;0;1;1;815;804;51;241;
2015;1;Menos de dois milhões de clientes;Banco/financeira;62232889;BANCO DAYCOVAL S A;27,01;18;144;118;280;666353;32349;638039;7932;
2015;1;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A; ;2;2;2;6;787580;774044;138903;570008;
2015;1;Menos de dois milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARA S A; ;1;13;6;20;682737;678336;159274;515812;
2015;1;Mais de dois milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S A;0,66;3;4;5;12;4542416;4344175;861556;3125587;
2015;1;Menos de dois milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S A;87,72;14;12;44;70;159595;6032;154237;2040;
2015;1;Menos de dois milhões de clientes;Banco/financeira;61348538;BANCO FICSA S A; ;0;0;1;1;29052;1239;27818;856;
2015;1;Menos de dois milhões de clientes;Banco/financeira;10664513;BANCO GERADOR S A; ;0;2;1;3;350;350; ;158;
2015;1;Menos de dois milhões de clientes;Banco/financeira;34270520;BANCO IBM S A; ;0;0;1;1;1332;1;1332; ;
