Ano;Trimestre;Categoria;Tipo;CNPJ IF;Conglomerado;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;92894922; ;BANCO ORIGINAL S.A.;49,42;717;64;112;411;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;92874270; ;BANCO DIGIMAIS S.A.;632,76;307;88;111;243;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;78632767; ;OURIBANK S.A. BANCO MÚLTIPLO; ;42;2;4;23;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;74828799; ;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; ;74;8;13;47;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;61820817; ;BANCO PAULISTA S.A.; ;24;5;8;15;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;58616418; ;BANCO FIBRA S.A.; ;10;1;5;2;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;54403563; ;BANCO ARBI S.A.; ;60;24;34;42;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;53518684; ;BANCO HSBC S.A.; ;17;2;7;5;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;46241852; ;COMPREV - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;6;0;0;1;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;43180355; ;PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;33,59;796;241;400;480;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;39993186; ;FORIS GFS BR INSTITUICAO DE PAGAMENTO LTDA; ;6;0;0;1;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;37880206; ;CORA SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;251;20;32;157;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;37122487; ;CALCRED S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;26;0;0;16;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36583700; ;QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;42;7;13;22;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990; ;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;46;5;9;26;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;35210410; ;ONEKEY PAYMENTS INSTITUICAO DE PAGAMENTO SA; ;17;5;12;7;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;34747388; ;ISSUER INSTITUICAO DE PAGAMENTO LTDA.; ;2;0;0;1;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;32223020; ;FLASH TECNOLOGIA E  INSTITUICAO DE PAGAMENTO LTDA; ;9;1;9;1;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;31680151; ;SWAP INSTITUIÇÃO DE PAGAMENTO S.A.; ;26;5;16;8;
2024;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;30798783; ;PLUXEE INSTITUIÇÃO DE PAGAMENTO BRASIL S.A.; 0 ;17;0;0;2;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27351731; ;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;695;11;18;420;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112; ;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;13;1;2;6;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27084098; ;TRANSFEERA INSTITUIÇÃO DE PAGAMENTO S.A; ;40;3;40;3;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;26225776; ;CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;6;0;0;5;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;25021356; ;DLOCAL BRASIL INSTITUIÇÃO DE PAGAMENTO S.A.; ;10;2;4;5;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;23114447; ;FLAGSHIP INSTITUICAO DE PAGAMENTOS LTDA; ;5;1;5;1;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;22121209; ;STRIPE BRASIL SOLUCOES DE PAGAMENTO INSTITUICAO DE PAGAMENTO LTDA; ;7;0;0;3;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;21018182; ;EBANX INSTITUICAO DE PAGAMENTOS LTDA.; ;73;29;52;41;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;20757199; ;PAY4FUN INSTITUICAO DE PAGAMENTO S.A.; ;60;12;33;22;
2024;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;19468242; ;ZOOP TECNOLOGIA & INSTITUICAO DE PAGAMENTO S.A.; ;42;5;9;23;
