Ano;Trimestre;Categoria;Tipo;CNPJ IF;Conglomerado;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;53518684; ;BANCO HSBC S.A.; ;10;0;0;5;
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;46241852; ;COMPREV - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;11;0;0;3;
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;40820176; ;PAY BROKERS IP INSTITUICAO DE PAGAMENTO LTDA.; ;7;0;0;1;
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33449007; ;EMPRESA BRASILEIRA DE BENEFICIOS E PAGAMENTOS INSTITUICAO DE PAGAMENTO LTDA; ;7;0;0;2;
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;31880826; ;BANCO GUANABARA S.A.; ;2;0;0;1;
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;26225776; ;CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;2;0;0;1;
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;22121209; ;STRIPE BRASIL SOLUCOES DE PAGAMENTO INSTITUICAO DE PAGAMENTO LTDA; ;6;0;0;1;
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;11271860; ;LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;24;0;0;16;
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;09473806; ;TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;5;0;0;1;
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;09313766; ;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;6;0;0;1;
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07656500; ;BANCO KDB DO BRASIL S.A.; ;8;0;0;2;
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;06249129; ;RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;6;0;0;2;
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;05192316; ;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;28;0;0;21;
