Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2014;11;Menos de dois milhões de clientes;Banco/financeira;09464032;MIDWAY S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;2;2;8;12;555712; ;555712; ;
2014;11;Menos de dois milhões de clientes;Banco/financeira;05351887;MULTIPLA CREDITO  FINANCIAMENTO E INVESTIMENTO S A; ;0;1;0;1;5015; ;5015; ;
2014;11;Menos de dois milhões de clientes;Banco/financeira;04379829;NEGRESCO S A    CREDITO  FINANCIAMENTO E INVESTIMENTOS; ;0;0;1;1;158745; ;158745; ;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;OMNI (conglomerado); ;0;1;2;3;293224; ;293224; ;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;ORIGINAL (conglomerado); ;0;11;9;20;41730;5025;37101;1206;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;PANAMERICANO (conglomerado);21,06;40;1025;243;1308;1899173;12372;1887745;2925;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;PERNAMBUCANAS (conglomerado); ;0;4;6;10; ; ; ; ;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;PINE (conglomerado); ;2;0;0;2;9976;5006;5289;1429;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;PORTO SEGURO (conglomerado); ;1;5;16;22;796666; ;796666; ;
2014;11;Menos de dois milhões de clientes;Banco/financeira;01800019;PORTOCRED S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;11;1;12;57616; ;57616; ;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;PSA FINANCE (conglomerado); ;2;2;7;11;131439;456;131185; ;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;RENDIMENTO (conglomerado); ;0;1;2;3;12407;8857;4674;2702;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;RODOBENS (conglomerado); ;0;0;1;1;46696;39054;19890;232;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;SAFRA (conglomerado); ;0;160;97;257;575686;257155;361998;137262;
2014;11;Menos de dois milhões de clientes;Banco/financeira;05503849;SANTANA S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;1;1;2;23880; ;23880; ;
2014;11;Mais de dois milhões de clientes;Conglomerado; ;SANTANDER (conglomerado);9,42;295;653;774;1722;31306438;27861021;9522585;22956024;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;SANTINVEST (conglomerado); ;1;0;0;1;6213; ;6213; ;
2014;11;Menos de dois milhões de clientes;Banco/financeira;07747410;SAX S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;116866; ;116866; ;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;SOCIETE GENERALE (conglomerado);17,44;13;217;20;250;745208; ; ;0;
2014;11;Menos de dois milhões de clientes;Banco/financeira;04814563;SOROCRED   CREDITO  FINANCIAMENTO E INVESTIMENTO S A; ;0;3;3;6;119567; ;119567; ;
2014;11;Menos de dois milhões de clientes;Banco/financeira;09473806;TODESCREDI S A   CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;1;0;1;8130; ;8130; ;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado); ;0;7;8;15;653916;1384;652895; ;
2014;11;Mais de dois milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);2,53;11;131;98;240;4341793;19251;4325594;6614;
