Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado); ;6;8;2;16;64343;59564;8939;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13140088;ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO;32,53;154;99;11;264;4733146;4733051;41852;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10868663;ACG INSTITUIÇÃO DE PAGAMENTO S.A.; ;2;0;0;2;52498;52498; ;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado); ;16;37;29;82;448382;1090;447333;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK (conglomerado);87,85;184;383;67;634;2094424;1670897;1369347;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;4;5;2;11;566952;126;566826;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;31961;21521;16616;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ALFA (conglomerado); ;10;19;4;33;434430;267422;168018;
2023;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AME DIGITAL (conglomerado);4,53;147;151;27;325;32410096;32408914;19991;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ANDBANK (conglomerado); ;0;3;4;7;52096;4338;47781;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASAAS (conglomerado); ;12;46;3;61;530769;530769; ;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;54403563;BANCO ARBI S.A.; ;20;15;0;35;192451;192451; ;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00997185;BANCO B3 S.A.; ;0;1;0;1;1287;1287; ;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;1;0;0;1;30751;1312;29625;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;08357240;BANCO CSF S.A.;8,65;72;103;38;213;8314091; ;8314091;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;3;3;3;9;594332;524683;203699;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33042151;BANCO DE LA NACION ARGENTINA; ;0;1;1;2;275;263;24;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;1;0;1;37165;4;37162;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;92874270;BANCO DIGIMAIS S.A.;187,09;51;31;50;132;272596;106048;194939;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.;28,37;32;34;18;84;1127678;856673;650288;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.;44,16;45;24;11;80;1018860;896419;436145;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.; ;3;22;31;56;9476405;8913805;3253877;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33644196;BANCO FATOR S.A.; ;0;2;0;2;167;162;9;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;58616418;BANCO FIBRA S.A.; ;3;1;1;5;164041;4881;160057;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;62237425;BANCO FIDIS S/A; ;1;0;1;2;1421;233;1209;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;53518684;BANCO HSBC S.A.; ;0;2;7;9;4236;4223;77;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04866275;BANCO INBURSA S.A.; ;27;12;5;44;46891;4;46887;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;91884981;BANCO JOHN DEERE S.A.; ;0;5;0;5;13986;254;13794;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;1;0;0;1;3739;2421;1665;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;78632767;BANCO OURINVEST S.A.; ;11;9;2;22;370087;366883;3250;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;28517628;BANCO PACCAR S.A.; ;0;1;1;2;1110; ;1110;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;61820817;BANCO PAULISTA S.A.; ;8;5;0;13;96979;9414;87880;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00517645;BANCO RIBEIRAO PRETO S.A.; ;0;1;1;2;5016;4865;1784;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;2;3;2;7;304475;8581;297314;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO SICOOB (conglomerado);7,91;49;81;22;152;6191619;2748997;4178069;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;4;10;5;19;12707;11624;2697;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO TOYOTA DO BRASIL S.A. (conglomerado); ;1;3;9;13;155619;15241;141223;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;5;15;8;28;1752326;688295;1397692;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36658769;BANCO XCMG BRASIL S.A.; ;0;2;0;2;231; ;231;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANESTES (conglomerado); ;17;15;15;47;1393196;1342290;486405;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANRISUL (conglomerado);6,68;35;228;52;315;5232565;3719968;4103829;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BARIGUI (conglomerado); ;19;29;10;58;360181;327079;61024;
2023;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BB (conglomerado);8,59;637;2112;1002;3751;74150080;67450737;36050877;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BBC (conglomerado); ;4;4;1;9;7061; ;7061;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;45283173;BBVA BRASIL BANCO DE INVESTIMENTO S.A.; ;0;0;1;1;0; ; ;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;20443996;BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;1;0;2;213541;8;213536;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;32074986;BEETELLERPAY INSTITUICAO DE PAGAMENTO LTDA; ;0;1;0;1;0; ; ;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BMG (conglomerado);63,04;813;917;178;1908;12894925;8187693;7318638;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BMW (conglomerado); ;2;2;3;7;34135;32158;23930;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BNP PARIBAS (conglomerado);41,87;72;295;75;442;1719497;10766;1709110;
2023;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BNQI - FINANCEIRO (conglomerado);11,97;78;41;8;127;6512048;6512048; ;
