Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00122327;SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;7;0;0;3;12410;158;12252;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SENFF (conglomerado); ;71;21;28;54;602735;354065;316231;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;29759316;SERVNET INSTITUIÇÃO DE PAGAMENTO LTDA.; ;3;1;3;1;538;0;538;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;05503849;SF3 CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;5;3;3;5;2680;1311;1369;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SHPP (conglomerado); ;79;21;27;61;2555298;2555298;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SICREDI (conglomerado); ;235;0;0;44;9304334;9277773;282841;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SIMPALA (conglomerado); ;9;1;1;7;7937;35;7902;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SINOSSERRA (conglomerado); ;2;0;0;2;10100;153;9959;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SOCIETE GENERALE (conglomerado); ;3;0;0;3;403;359;73;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;03881423;SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;94;22;29;71;3057;525;2547;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SOFISA (conglomerado);90,75;204;101;108;190;1193080;1182508;266203;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;STARK (conglomerado);69.117,07;138;80;99;111;1439;1439;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;STELLANTIS (conglomerado); ;31;1;1;22;110641;727;109944;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;STONE (conglomerado);9,21;706;49;92;375;10005850;10005712;144;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;22121209;STRIPE BRASIL SOLUCOES DE PAGAMENTO INSTITUICAO DE PAGAMENTO LTDA; ;9;1;2;5;84;0;84;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SUMUP (conglomerado); ;54;6;15;22;780;0;780;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;35084163;SUPERBID PAY INSTITUICAO DE PAGAMENTO LTDA; ;1;1;1;2;403702;403702;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;31680151;SWAP MEIOS DE PAGAMENTOS INSTITUICAO DE PAGAMENTO S.A.; ;22;12;13;21;2083524;2061902;336338;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;09473806;TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;8;1;2;4;40257;12;40245;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27084098;TRANSFEERA INSTITUIÇÃO DE PAGAMENTO S.A; ;11;3;3;12;2101;2101;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;30980539;U4C INSTITUIÇÃO DE PAGAMENTO S.A.; ;3;1;2;2;17584;17584;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07799277;VALOR S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;16;4;5;14;35486;0;35486;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;05192316;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;13;0;0;9;227642;1073;226591;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VOLKSWAGEN (conglomerado);112,31;210;45;49;194;433721;287;433563;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VOLVO (conglomerado); ;4;0;0;3;9415;43;9376;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VOTORANTIM (conglomerado);20,72;1736;197;306;1105;14740668;12227854;4011299;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VR (conglomerado); ;4;0;0;2;11870;461;11536;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;WESTERN UNION (conglomerado); ;12;4;6;8;4;4;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;XP (conglomerado);52,91;674;210;300;474;5668198;5661225;1132620;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;36;7;10;26;234698;262;234469;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;19468242;ZOOP TECNOLOGIA & INSTITUICAO DE PAGAMENTO S.A.;54,16;93;35;37;89;675177;675177;0;
