Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;1;0;0;1;2897;2150;1113;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;60498557;BANCO MUFG BRASIL S.A.; ;1;0;0;1;2811;2800;49;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;28517628;BANCO PACCAR S.A.; ;2;0;0;2;2048;5;2043;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;61820817;BANCO PAULISTA S.A.; ;36;8;11;27;99025;10527;88867;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;40429946;BANCO PORTO REAL DE INVESTIMENTOS S.A; ;1;0;0;1;19;0;19;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;80271455;BANCO RNX S.A.; ;1;0;0;1;2502;99;2436;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;20;2;2;18;190764;5758;185877;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO SICOOB (conglomerado); ;734;28;36;568;6901413;3235092;4518386;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;15;6;6;15;11719;10664;2539;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO TOYOTA DO BRASIL S.A. (conglomerado); ;50;9;11;40;163394;15226;148912;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;81;6;8;64;1826621;671424;1476491;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANESE (conglomerado);24,56;104;36;41;91;1661753;883310;1146033;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANESTES (conglomerado); ;110;25;30;93;1463949;1428656;422842;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANRISUL (conglomerado);83,52;1597;290;455;1018;5442202;3912220;4125788;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BARIGUI (conglomerado);721,82;219;66;68;213;94011;52251;52672;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BB (conglomerado);18,15;10724;201;1407;1528;77486517;71229884;36715307;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BBC (conglomerado); ;16;0;0;12;13129;0;13129;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;20443996;BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;8;2;4;4;222995;3;222993;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;35523352;BEES INSTITUICAO DE PAGAMENTO LTDA.; ;2;0;0;1;99;99;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10506341;BLU INSTITUIÇÃO DE PAGAMENTO LTDA.; ;2;0;0;1;39764;39764;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BMG (conglomerado);32,01;2935;130;337;1141;10536929;6022598;7164090;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BMW (conglomerado); ;5;3;3;5;55366;44733;29462;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BNP PARIBAS (conglomerado); ;388;23;29;313;857037;9839;847449;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BNQI - FINANCEIRO (conglomerado); ;59;12;13;56;6714433;6714432;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BNY MELLON (conglomerado); ;1;0;0;1;4448;4448;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BOCOM (conglomerado); ;1;0;0;1;9380;7857;2344;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BOFA MERRILL LYNCH (conglomerado); ;5;0;0;4;4271;4265;113;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BRADESCO (conglomerado);29,88;17532;528;3249;2851;108709671;103235663;42952241;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BRB (conglomerado);230,85;3767;757;1612;1789;6984103;4806426;2876838;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BTG PACTUAL/BANCO PAN (conglomerado);37,27;5245;288;921;1612;24707563;19427446;9034645;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;C6 BANK (conglomerado);84,49;5852;745;2596;1756;30719069;26975623;7940216;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);25,29;15805;377;3936;1514;155564626;154007148;30406740;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CAIXA GERAL (conglomerado); ;31;0;0;26;1031;1011;90;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;37122487;CALCRED S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;16;2;3;12;135806;0;135806;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;09313766;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;10;3;2;13;56350;55126;6072;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CCB (conglomerado); ;53;1;1;49;128081;3358;124996;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13935893;CELCOIN INSTITUICAO DE PAGAMENTO S.A.;36,83;298;156;185;251;5027709;5027708;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;26225776;CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;6;0;0;3;130885;72;130813;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;01027058;CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO; ;309;16;54;91;1698787;1698681;119;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CITIBANK (conglomerado); ;25;0;0;25;19264;18992;1143;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;18189547;CLOUDWALK INSTITUIÇÃO DE PAGAMENTO E SERVICOS LTDA; ;338;15;24;211;5844215;5844215;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;COBUCCIO (conglomerado);154,30;687;196;280;490;1811549;903056;1307766;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;COLOMBO (conglomerado); ;26;11;12;24;264202;65;264150;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;46241852;COMPREV - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;5;3;3;6;208;0;208;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;05938780;COOPER CARD INSTITUIÇÃO DE PAGAMENTO LTDA.; ;6;0;0;8;292365;20485;288169;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;37880206;CORA SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;163;18;19;158;2446310;2442788;72651;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREDI-SHOP (conglomerado); ;6;0;0;6;674844;0;674844;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;12599971;CREDITÁ S/A CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;3;0;0;1;1267;994;385;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREDSYSTEM (conglomerado); ;130;24;25;125;4824046;0;4824046;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;CREFISA (conglomerado);43,98;1553;164;253;1018;5755266;3223742;3145006;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;DAYCOVAL (conglomerado);73,93;1631;95;170;912;2298834;448414;1940039;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;23511655;DEUTSCHE SPARKASSEN LEASING DO BRASIL BANCO MÚLTIPLO S.A.; ;0;0;0;1;672;0;672;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;25021356;DLOCAL BRASIL INSTITUIÇÃO DE PAGAMENTO S.A.; ;31;12;17;22;242681;242674;7;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;DMCARD (conglomerado);66,33;304;110;142;235;2144998;427;2144936;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13370835;DOCK INSTITUIÇÃO DE PAGAMENTO S.A.;10,66;163;50;58;141;5420342;5399377;22359;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;EAGLE (conglomerado); ;6;1;1;6;0;0;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;21018182;EBANX INSTITUICAO DE PAGAMENTOS LTDA.; ;58;29;31;55;885511;885511;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;EDENRED (conglomerado); ;8;3;2;5;291603;286334;6531;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00714671;EWALLY INSTITUIÇÃO DE PAGAMENTO S.A.; ;40;4;5;30;173307;173307;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;356,87;1780;472;945;889;2648146;686;2647468;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00411939;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;9;0;0;5;81262;1384;79902;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;FISERV (conglomerado); ;20;2;8;5;131;0;131;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13203354;FITBANK INSTITUIÇÃO DE PAGAMENTOS ELETRÔNICOS S.A.;733,52;151;78;86;137;117202;117202;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;23114447;FLAGSHIP INSTITUICAO DE PAGAMENTOS LTDA; ;9;2;2;8;92050;92050;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;32223020;FLASH TECNOLOGIA E  INSTITUICAO DE PAGAMENTO LTDA; ;11;8;8;11;299722;299722;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;39993186;FORIS GFS BR INSTITUICAO DE PAGAMENTO LTDA; ;4;1;1;4;308782;308782;0;
