Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado); ;1;3;2;6;66502;58584;12989;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13140088;ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO;12,98;37;41;6;84;2848944;2824060;88672;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10868663;ACG INSTITUIÇÃO DE PAGAMENTO S.A.; ;2;0;0;2;65867;63485;2382;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33171211;ACQIO ADQUIRENCIA INSTITUICAO DE PAGAMENTO S.A.; ;4;0;2;6;0;0;0;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;14796606;ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.; ;0;1;2;3;0;0;0;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado); ;9;18;21;48;445174;1092;444131;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK (conglomerado);145,87;377;628;53;1058;2584483;1990138;1738655;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;3;7;0;10;632363;129;632234;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;2;0;2;19469;8455;15888;
2023;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AME DIGITAL (conglomerado);1,84;60;101;13;174;32591542;32589984;54642;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ANDBANK (conglomerado); ;1;7;7;15;65390;4417;60994;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASAAS (conglomerado); ;20;43;4;67;736473;736470;7;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;B3 (conglomerado); ;0;1;2;3;1240;1240; ;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;54403563;BANCO ARBI S.A.; ;2;12;1;15;274393;265626;14113;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;3;1;4;32739;1312;31612;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;08357240;BANCO CSF S.A.;6,37;54;120;68;242;8477182; ;8477182;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;2;0;2;4;612332;554778;196227;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;92874270;BANCO DIGIMAIS S.A.; ;25;26;32;83;296709;69235;249027;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.; ;15;23;10;48;1135370;874654;649131;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.; ;19;32;7;58;1065367;942877;456685;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.; ;2;31;22;55;9795943;9240260;3252124;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33644196;BANCO FATOR S.A.; ;0;0;1;1;158;156;5;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;58616418;BANCO FIBRA S.A.; ;0;0;1;1;165826;6381;160455;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;53518684;BANCO HSBC S.A.; ;0;3;4;7;5696;5690;89;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04866275;BANCO INBURSA S.A.;821,07;116;151;6;273;141278;4;141274;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;91884981;BANCO JOHN DEERE S.A.; ;0;4;0;4;13387;257;13190;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;0;2;0;2;2821;2031;1144;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;78632767;BANCO OURINVEST S.A.; ;1;5;0;6;647794;644917;2951;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;61820817;BANCO PAULISTA S.A.; ;3;15;1;19;113801;10102;104022;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00517645;BANCO RIBEIRAO PRETO S.A.; ;1;1;0;2;5566;5417;1659;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;80271455;BANCO RNX S.A.; ;1;0;0;1;2349;88;2290;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;2;8;1;11;245754;25697;236300;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO SICOOB (conglomerado);9,84;66;88;38;192;6701884;2992177;4529796;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;1;8;1;10;12461;11406;2574;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO TOYOTA DO BRASIL S.A. (conglomerado); ;5;13;9;27;161793;15239;147356;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;6;23;3;32;1798970;678849;1444430;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANESTES (conglomerado); ;19;28;5;52;1418483;1380209;420373;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANRISUL (conglomerado);7,79;42;259;60;361;5385323;3819796;4109377;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BARIGUI (conglomerado); ;15;19;8;42;348931;315908;52435;
2023;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BB (conglomerado);5,94;449;2138;977;3564;75467287;68907393;36610903;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BBC (conglomerado); ;1;2;2;5;8535; ;8535;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;20443996;BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;0;1;224509;7;224505;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;32074986;BEETELLER INSTITUIÇÃO DE PAGAMENTO LTDA.; ;0;1;0;1;0;0;0;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BLU - FINANCEIRO (conglomerado); ;2;1;0;3;40281;40281; ;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BMG (conglomerado);32,86;341;683;102;1126;10376912;5550016;7416446;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BMW (conglomerado); ;6;1;0;7;45389;41590;27062;
2023;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BNP PARIBAS (conglomerado); ;17;156;66;239;1177387;10148;1167497;
