Ano;Semestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;1;2;3;13367;12019;3039;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);160,14;45;116;93;254;280988;3991;278291;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;22;68;56;146;493927;268964;227115;
2016;2º;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;1;5;6;6965;1037;5935;
2016;2º;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;4;5;42611; ;42611;
2016;2º;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.; ;1;0;1;2;105443;7077;98751;
2016;2º;Menos de quatro milhões de clientes;Banco/financeira;54403563;BANCO ARBI S.A.; ;0;0;2;2;6032;367;5698;
2016;2º;Menos de quatro milhões de clientes;Banco/financeira;00997185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.; ;0;0;1;1;809;809; ;
2016;2º;Menos de quatro milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S.A.; ;7;253;99;359;55063;6575;48640;
2016;2º;Menos de quatro milhões de clientes;Banco/financeira;02658435;BANCO CATERPILLAR S.A.; ;0;0;1;1;5412; ;5412;
2016;2º;Menos de quatro milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;2;5;9;16;27040;1669;25952;
2016;2º;Menos de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;17,04;53;59;156;268;3109787; ;3109787;
