Ano;Trimestre;Categoria;Tipo;CNPJ IF;Conglomerado;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;78626983; ;BANCO VR S.A.; ;5;0;0;2;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;62073200; ;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; ;7;0;0;1;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;58017179; ;BANCO VOLVO BRASIL S.A.; ;5;1;5;1;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;53518684; ;BANCO HSBC S.A.; ;15;0;0;5;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;46241852; ;COMPREV - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;8;0;0;4;
2025;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;44815065; ;PAY2ALL INSTITUICAO DE PAGAMENTO LTDA; 0 ;3;0;0;1;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;41538335; ;CLARA INSTITUICAO DE PAGAMENTO LTDA.; ;9;2;3;7;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;40820176; ;PAY BROKERS IP INSTITUICAO DE PAGAMENTO LTDA.; ;5;0;0;3;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;35810871; ;Z1 INSTITUIÇÃO DE PAGAMENTO LTDA.; ;21;15;14;23;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33449007; ;EMPRESA BRASILEIRA DE BENEFICIOS E PAGAMENTOS INSTITUICAO DE PAGAMENTO LTDA; ;9;0;0;2;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;31880826; ;BANCO GUANABARA S.A.; ;4;0;0;1;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;22121209; ;STRIPE BRASIL SOLUCOES DE PAGAMENTO INSTITUICAO DE PAGAMENTO LTDA; ;3;0;0;1;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;20443996; ;BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;6;1;6;1;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;20308187; ;PROVER PROMOCAO DE VENDAS INSTITUICAO DE PAGAMENTO LTDA; ;10;2;5;4;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;15114366; ;BANCO BOCOM BBM S.A.; ;3;0;0;1;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;12815827; ;ROADCARD INSTITUICAO DE PAGAMENTO INTEGRADO DA LOGISTICA S.A.; ;4;0;0;1;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;11271860; ;LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;17;2;4;9;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10789035; ;FACILITA INSTITUICAO DE PAGAMENTO S/A; ;4;1;2;2;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;09473806; ;TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;13;1;1;9;
2025;2º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;09313766; ;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;6;0;0;2;
