Ano;Trimestre;Categoria;Tipo;CNPJ IF;Conglomerado;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;62073200; ;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; ;33;0;0;20;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;49288113; ;KANASTRA FINANCEIRA S.A, CREDITO, FINANCIAMENTO E INVESTIMENTO; ;14;0;0;3;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;48755901; ;SOLFÁCIL SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;18;0;0;10;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;46241852; ;COMPREV - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;9;0;0;1;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;34747388; ;ISSUER INSTITUICAO DE PAGAMENTO LTDA.; ;2;0;0;3;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10506341; ;BLU INSTITUIÇÃO DE PAGAMENTO LTDA.; ;33;0;0;26;
2026;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;99PAY IP; ;9,51;1477;100;260;568;
2026;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;24313102;99PAY IP;99PAY INSTITUICAO DE PAGAMENTO S.A.; 0 ;1477;100;260;568;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL; ; ;22;4;8;11;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;28195667;ABC-BRASIL;BANCO ABC BRASIL S.A.; ;22;4;8;11;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ACG IP; ; ;3;1;3;1;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;10868663;ACG IP;ACG INSTITUIÇÃO DE PAGAMENTO S.A.; ;3;1;3;1;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ADYEN DO BRASIL IP; ; ;56;4;6;37;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;14796606;ADYEN DO BRASIL IP;ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.; ;56;4;6;37;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK; ;218,64;3566;369;1646;805;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;13660104;AGIBANK;AGI FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;33;10;11;29;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;10664513;AGIBANK;BANCO AGIBANK S.A.; 0 ;3533;359;1634;776;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGORACRED S/A SCFI; ; ;51;4;4;49;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;36321990;AGORACRED S/A SCFI;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;51;4;4;49;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AL5 S.A. SCFI; ; ;15;0;0;5;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;27214112;AL5 S.A. SCFI;AL5 S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;15;0;0;5;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ANDBANK; ; ;61;6;7;49;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;48795256;ANDBANK;BANCO ANDBANK (BRASIL) S.A.; ;61;6;7;49;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASAAS GESTAO FINANCEIRA IP; ;69,70;221;60;86;156;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;48786608;ASAAS GESTAO FINANCEIRA IP;ASAAS SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;9;1;5;2;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;19540550;ASAAS GESTAO FINANCEIRA IP;ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.; 0 ;212;59;81;154;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASTRO IP; ;836,13;89;44;52;75;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;34006497;ASTRO IP;ASTRO INSTITUICAO DE PAGAMENTO LTDA.; 0 ;89;44;52;75;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AVANCARD PROVER IP; ; ;9;2;9;2;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;20308187;AVANCARD PROVER IP;AVANCARD PROVER INSTITUIÇÃO DE PAGAMENTO LTDA; ;9;2;9;2;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO AFINZ BM; ;150,50;555;99;130;419;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;60114865;BANCO AFINZ BM;AFINZ INSTITUIÇÃO DE PAGAMENTO S.A.; ;108;13;19;75;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;04814563;BANCO AFINZ BM;BANCO AFINZ S.A. - BANCO MÚLTIPLO; 0 ;447;86;112;344;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO BARI DE INVESTIMENTO E FINANCI.; ;519,74;110;37;38;106;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;00556603;BANCO BARI DE INVESTIMENTO E FINANCI.;BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.; 0 ;110;37;38;106;
2026;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO C6; ;55,30;7347;371;1898;1356;
2026;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;61348538;BANCO C6;BANCO C6 CONSIGNADO S.A.; 0 ;1465;166;482;505;
2026;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;31872495;BANCO C6;BANCO C6 S.A.; 0 ;5882;205;1417;851;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO CNH INDUSTRIAL CAPITAL S.A; ; ;17;0;0;5;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;17;0;0;5;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO DIGIMAIS; ;1.665,06;675;166;317;353;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;92874270;BANCO DIGIMAIS;BANCO DIGIMAIS S.A.; 0 ;675;166;317;353;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO HSBC; ; ;10;1;5;2;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;53518684;BANCO HSBC;BANCO HSBC S.A.; ;10;1;5;2;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO PACCAR; ; ;2;0;0;1;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;28517628;BANCO PACCAR;BANCO PACCAR S.A.; ;2;0;0;1;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO PAULISTA; ; ;21;4;6;14;
2026;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;61820817;BANCO PAULISTA;BANCO PAULISTA S.A.; ;21;4;6;14;
