Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2016;5;Menos de dois milhões de clientes;Conglomerado; ;PAN (conglomerado);17,72;35;308;260;603;1974587;14594;1961477;2130;
2016;5;Menos de dois milhões de clientes;Conglomerado; ;PARANÁ BANCO (conglomerado); ;9;83;46;138;393808;4786;389453;1807;
2016;5;Menos de dois milhões de clientes;Banco/financeira;03311443;PARATI   CREDITO  FINANCIAMENTO E INVESTIMENTO S A; ;0;1;0;1;745; ;745; ;
2016;5;Menos de dois milhões de clientes;Conglomerado; ;PERNAMBUCANAS (conglomerado); ;4;1;8;13;1457093; ;1457093; ;
2016;5;Menos de dois milhões de clientes;Conglomerado; ;PORTO SEGURO (conglomerado); ;4;15;17;36;904433; ;904433; ;
2016;5;Menos de dois milhões de clientes;Banco/financeira;01800019;PORTOCRED S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;2;5;7;70093; ;70093; ;
2016;5;Menos de dois milhões de clientes;Conglomerado; ;PSA FINANCE (conglomerado); ;0;5;7;12;97319;381;97043; ;
2016;5;Menos de dois milhões de clientes;Conglomerado; ;SAFRA (conglomerado);29,09;21;75;93;189;721843;265156;499669;141705;
2016;5;Menos de dois milhões de clientes;Banco/financeira;05503849;SANTANA S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;1;0;0;1;25440; ;25440; ;
2016;5;Mais de dois milhões de clientes;Conglomerado; ;SANTANDER (conglomerado);5,48;189;805;945;1939;34458509;30536874;9835810;21928554;
2016;5;Menos de dois milhões de clientes;Conglomerado; ;SANTINVEST (conglomerado); ;0;0;1;1;6939; ;6939; ;
2016;5;Menos de dois milhões de clientes;Banco/financeira;07747410;SAX S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;1;3;4;139369; ;139369; ;
2016;5;Menos de dois milhões de clientes;Banco/financeira;11970623;SENFF S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;2;2;5745; ;5745; ;
2016;5;Mais de dois milhões de clientes;Conglomerado; ;SICREDI (conglomerado); 0 ;0;1;0;1;2374014;2344859;93148;0;
2016;5;Menos de dois milhões de clientes;Conglomerado; ;SOCIETE GENERALE (conglomerado); ;5;5;8;18;481224;869;480425;66;
2016;5;Menos de dois milhões de clientes;Conglomerado; ;SOFISA (conglomerado); ;0;0;1;1;44177;35297;9808;15194;
2016;5;Menos de dois milhões de clientes;Banco/financeira;04814563;SOROCRED   CREDITO  FINANCIAMENTO E INVESTIMENTO S A; ;1;1;6;8;105291; ;105291; ;
2016;5;Menos de dois milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado); ;0;6;15;21;556142;1388;555100; ;
2016;5;Menos de dois milhões de clientes;Conglomerado; ;VOLVO (conglomerado); ;0;1;0;1;10834;166;10827; ;
2016;5;Mais de dois milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);5,09;19;97;109;225;3730569;17071;3715561;4436;
2016;5;Menos de dois milhões de clientes;Conglomerado; ;WESTERN UNION (conglomerado); ;2;1;0;3;3;3; ;1;
2016;5;Menos de dois milhões de clientes;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;0;1;2;3;102110;46;102064; ;
